unit,induse,stk_flow,prod_na,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
NR,CPA_A01,DOM,B1G,EA19	0.45 	0.45 	0.45 	0.44 	0.44 	0.44 	0.42 	0.42 	0.43 	0.44 	0.43 	0.44 	0.46 	0.44 	0.45 
NR,CPA_A01,DOM,B1G,EU27_2020	0.43 	0.43 	0.44 	0.43 	0.42 	0.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,B1G,EU28	0.43 	0.43 	0.44 e	0.43 	0.42 	0.43 	0.42 	0.42 	0.42 	0.42 	0.41 	0.43 	0.43 	0.42 	0.43 
NR,CPA_A01,DOM,B2A3G,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,B2A3G,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,B2A3G,EU28	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,B2A3N,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,B2A3N,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,B2A3N,EU28	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,B3G,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,B3G,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,B3G,EU28	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_A01,EA19	0.11 	0.11 	0.11 	0.11 	0.11 	0.11 	0.12 	0.12 	0.11 	0.11 	0.11 	0.11 	0.12 	0.12 	0.12 
NR,CPA_A01,DOM,CPA_A01,EU27_2020	0.12 	0.12 	0.12 	0.12 	0.12 	0.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_A01,EU28	0.12 	0.12 	0.12 e	0.12 	0.12 	0.12 	0.13 	0.13 	0.13 	0.13 	0.13 	0.13 	0.13 	0.13 	0.13 
NR,CPA_A01,DOM,CPA_A02,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_A02,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_A02,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_A03,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_A03,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_A03,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_B,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_B,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_B,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C10-12,EA19	0.09 	0.09 	0.09 	0.1 	0.1 	0.11 	0.11 	0.11 	0.11 	0.1 	0.11 	0.1 	0.11 	0.1 	0.1 
NR,CPA_A01,DOM,CPA_C10-12,EU27_2020	0.1 	0.1 	0.1 	0.1 	0.11 	0.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C10-12,EU28	0.09 	0.09 	0.09 e	0.09 	0.1 	0.1 	0.1 	0.1 	0.11 	0.1 	0.11 	0.1 	0.1 	0.11 	0.11 
NR,CPA_A01,DOM,CPA_C13-15,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C13-15,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C13-15,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C16,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C16,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C16,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C17,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C17,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C17,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C18,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C18,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C18,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C19,EA19	0.02 	0.02 	0.02 	0.01 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 
