Chain-Type Price Indexes for Intermediate Inputs by Industry
Chain-Type Price Indexes for Intermediate Inputs by Industry
"Last Revised on: December 22, 2022"
Line,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Line,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        All industries",68.732,67.577,68.274,71.352,71.696,71.701,74.355,78.323,82.842,86.752,89.829,95.939,89.866,93.876,99.160,100.000,101.146,102.696,98.929,98.158,101.476,105.667,106.612,106.143,116.071
2,Private industries,69.240,68.019,68.655,71.675,71.948,71.908,74.506,78.535,82.986,86.904,89.933,96.020,89.879,93.914,99.203,100.000,101.102,102.668,99.011,98.247,101.521,105.682,106.639,106.243,116.227
3,"    Agriculture, forestry, fishing, and hunting",53.299,50.814,49.890,53.037,53.956,53.036,56.422,60.542,64.355,67.312,72.959,85.779,79.727,82.387,94.625,100.000,101.064,105.832,99.182,91.402,90.771,93.055,94.242,91.269,101.223
4,"        Farms",51.641,49.049,47.717,51.134,52.270,51.300,54.768,58.852,62.724,65.733,71.959,85.108,79.395,81.768,94.382,100.000,101.063,106.114,99.127,90.979,90.129,92.283,93.550,90.464,100.330
5,"        Forestry, fishing, and related activities",71.804,70.179,69.392,70.121,68.755,68.353,70.895,75.322,78.698,81.138,86.235,94.414,83.683,90.286,97.869,100.000,101.089,102.227,99.916,97.658,100.312,104.566,104.071,104.331,115.714
6,"    Mining",50.406,45.601,49.754,59.535,58.553,58.248,65.004,72.886,83.798,88.987,93.352,104.412,89.336,96.727,102.727,100.000,103.068,105.597,97.251,96.421,101.557,106.770,106.035,103.684,124.686
7,"        Oil and gas extraction",48.997,40.347,46.895,60.561,58.473,57.357,66.941,77.048,91.982,97.249,102.381,119.355,90.756,100.632,106.067,100.000,104.689,108.193,94.765,93.306,99.215,104.390,102.446,98.713,122.861
8,"        Mining, except oil and gas",52.539,52.130,52.923,55.685,56.792,57.545,60.274,65.135,72.087,77.831,81.810,90.066,84.744,90.357,98.573,100.000,99.929,100.220,95.388,94.557,98.718,104.145,105.324,105.710,118.132
9,"        Support activities for mining",60.292,61.228,62.468,64.414,65.881,67.473,69.654,74.270,79.806,83.945,87.350,91.766,88.619,92.605,97.663,100.000,101.790,103.587,103.192,103.866,107.576,112.445,114.604,115.591,126.600
10,"    Utilities",54.432,50.674,52.808,62.660,63.825,61.276,72.435,79.366,94.667,97.210,100.798,117.661,89.185,98.932,104.429,100.000,104.629,108.804,96.073,94.782,102.215,108.142,106.183,101.873,124.182
11,"    Construction",66.697,66.510,67.816,69.476,69.895,70.184,72.089,76.857,81.222,86.069,88.706,93.735,90.771,93.045,97.527,100.000,101.849,102.698,101.881,101.983,105.238,110.513,112.420,114.518,130.033
12,"    Manufacturing",62.619,60.063,60.019,63.187,62.364,61.747,64.380,69.741,75.304,80.214,84.358,94.270,82.861,90.239,100.076,100.000,99.938,100.317,90.080,86.662,91.443,97.010,96.010,93.095,110.213
13,"        Durable goods",78.332,76.166,74.976,75.653,74.425,74.141,74.986,79.537,83.215,87.744,90.431,95.822,91.043,94.932,99.807,100.000,99.650,100.528,98.249,97.179,100.278,104.715,105.378,105.459,120.541
14,"            Wood products",83.330,80.540,81.828,80.784,79.156,78.908,80.477,88.166,90.104,91.143,92.072,94.413,88.437,94.718,98.761,100.000,103.660,108.129,105.524,105.153,107.733,113.083,110.278,110.427,132.388
15,"            Nonmetallic mineral products",64.600,64.389,65.274,67.581,68.720,68.529,70.575,74.353,80.272,85.314,88.497,94.862,93.153,94.599,98.830,100.000,101.629,104.480,102.662,102.757,107.149,112.306,113.942,113.761,124.349
16,"            Primary metals",52.662,50.332,49.068,52.028,51.077,50.749,53.120,62.388,69.245,79.392,85.042,94.093,81.598,91.842,102.252,100.000,96.028,95.751,88.724,85.681,92.553,100.269,99.994,99.875,130.663
17,"            Fabricated metal products",65.007,64.202,63.213,65.527,64.952,65.296,67.033,74.745,79.764,85.775,90.019,98.922,89.485,95.026,100.794,100.000,98.579,100.086,96.266,93.952,98.863,105.696,105.881,104.305,127.545
18,"            Machinery",70.721,70.345,70.317,71.685,71.368,71.582,72.769,77.209,81.141,85.383,88.593,94.808,91.782,94.843,99.152,100.000,99.913,100.879,99.354,98.648,101.358,105.441,106.773,107.085,120.388
