"","","","","","","","","",""
"TABLE 1","","","","","","","","",""
"","","","","","","","","",""
"Code","Description","Period of Price Change","Rank
For
ward
Link
ages","Yearly
Price
Change
( % )","Share
of Per
sonal
Con
sump
tion","CPI
Total","CPI
Direct","CPI
Indi
rect","Rank
CPI
Im
pact"
"","","Sectoral price volatility
2000-2019","15","21.34","1.23","0.42","0.26","0.15","1"
"324","Petroleum and
coal products","Yearly price change from
2020 Q4 to 2021 Q4","15","75.66","1.23","1.48","0.93","0.55","1"
"","","Yearly price change from
2021 Q2 to 2022 Q2","15","72.52","1.23","1.42","0.89","0.53","1"
"","","Sectoral price volatility
2000-2019","18","23.92","0.04","0.19","0.01","0.18","N"
"211","Oil and gas
extraction","Yearly price change from
2020 Q4 to 2021 Q4","18","94.41","0.04","0.77","0.04","0.72","2"
"","","Yearly price change from
2021 Q2 to 2022 Q2","18","74.75","0.04","0.61","0.03","0.57","5"
"","","Sectoral price volatility
2000-2019","22","9.65","0.60","0.19","0.06","0.13","3"
"111CA","Farms","Yearly price change from
2020 Q4 to 2021 Q4","22","22.48","0.60","0.43","0.13","0.30","9"
"","","Yearly price change from
2021 Q2 to 2022 Q2","22","25.92","0.60","0.50","0.16","0.34","7"
"","","Sectoral price volatility
2000-2019","23","3.57","4.33","0.18","0.15","0.03","4"
"311FT","Food and
beverage and
tobacco products","Yearly price change from
2020 Q4 to 2021 Q4","23","10.84","4.33","0.56","0.47","0.09","6"
"","","Yearly price change from
2021 Q2 to 2022 Q2","23","11.32","4.33","0.58","0.49","0.09","6"
"","","Sectoral price volatility
2000-2019","7","4.93","2.45","0.18","0.12","0.06","5"
"521CI","Federal Reserve
banks , credit
intermediation ,","Yearly price change from
2020 Q4 to 2021 Q4","7","4.68","2.45","0.17","0.11","0.05","24"
"","and related
activities","Yearly price change from
2021 Q2 to 2022 Q2","7","3.46","2.45","0.12","0.08","0.04","28"
"","","","","","","","","",""
"","","","","","","","","",""
"TABLE 2","","","","","","","","",""
"","","","","","","","","",""
"Code","Description","Period of Price Change","Rank
For-
ward
Link
ages","Yearly
Price
Change
( % )","Share
of Per
sonal
Con
sump
tion","CPI
Total","CPI
Direct","CPI
Indi
rect","Rank
CPI
Im
pact"
"","","Sectoral price volatility
2000-2019","9","4.99","2.19","0.16","0.11","0.05","6"
"325","Chemical
products","Yearly price change from
2020 Q4 to 2021 Q4","9","18.13","2.19","0.57","0.40","0.17","4"
"","","Yearly price change from
2021 Q2 to 2022 Q2","9","12.20","2.19","0.38","0.27","0.11","9"
"","","Sectoral price volatility
2000-2019","70","0.98","15.26","0.15","0.15","0.00","7"
"HS","Housing","Yearly price change from
2020 Q4 to 2021 Q4","70","3.46","15.26","0.53","0.53","0.00","7"
"","","Yearly price change from
2021 Q2 to 2022 Q2","70","5.24","15.26","0.80","0.80","0.00","3"
"","","Sectoral price volatility
2000-2019","10","5.45","1.53","0.13","0.08","0.05","8"
"22","Utilities","Yearly price change from
2020 Q4 to 2021 Q4","10","23.42","1.53","0.56","0.36","0.21","5"
"","","Yearly price change from
2021 Q2 to 2022 Q2","10","26.81","1.53","0.64","0.41","0.23","4"
"","","Sectoral price volatility
2000-2019","3","1.76","4.20","0.13","0.07","0.06","9"
"42","Wholesale trade","Yearly price change from
2020 Q4 to 2021 Q4","3","9.56","4.20","0.70","0.40","0.30","3"
"","","Yearly price change from
2021 Q2 to 2022 Q2","3","10.97","4.20","0.81","0.46","0.35","2"
"","","Sectoral price volatility
2000-2019","42","1.33","5.91","0.08","0.08","0.00","10"
"4A0","Other retail","Yearly price change from
2020 Q4 to 2021 Q4","42","6.71","5.91","0.42","0.40","0.02","10"
"","","Yearly price change from
2021 Q2 to 2022 Q2","42","4.12","5.91","0.26","0.24","0.01","15"
"","","","","","","","","",""
"","","","","","","","","",""
"TABLE 3","","","","","","","","",""
"","","","","","","","","",""
