commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,2081.9068678895737,33.00863721244192,0,1.3203454884976769,0.2084756034470016,0,79.91564798801728,8045.559980094501,152.88210919446783,0,0,0,0,0,229.32316379170175,0,0,0,0,0,0,0,0,0,0,9.033942816036737,94.85639956838573,45.93412462615602,1.9457722988386816,0,0,0,0,0,14.662784109105779,0.6254268103410048,22.515365172276173,5.976300632147379,0,12.022093132110426,1.042378017235008,41.41715321813765
113FF_Forestry_fishing_and_related_activities,2431.3893682710577,1448.8524184610512,0,11.046390120329322,0,0,0,932.0391664027866,0,6.5094798923369215,2301.0025134578846,655.8794133945535,7.693021690943635,0.19725696643445217,37.084309689677006,179.30658248891703,0.19725696643445217,0,0,0,0,0,0,0,4.9314241608613045,26.037919569347686,0,68.64542431918936,0.19725696643445217,0,0,0,0,0,12.229931918936035,0.7890278657378087,0,7.693021690943635,0,25.643405636478782,30.377572830905635,361.3747625079164
211_Oil_and_gas_extraction,0,0,7322.151346745929,3.1851267354723776,0,23757.405301783398,0,0.4550181050674825,0,0,0.910036210134965,0.910036210134965,0.4550181050674825,56101.00224619019,1921.9964758050462,1.3650543152024475,0,45.95682861181574,0.4550181050674825,0,0,0,0,0,0,0,5.005199155742308,7.735307786147203,13.195525046956993,0.4550181050674825,2.730108630404895,0,0,0,1.82007242026993,8.190325891214686,5.46021726080979,0.910036210134965,6.825271576012238,4.095162945607343,4.5501810506748255,15.925633677361889
212_Mining_except_oil_and_gas,40.64757383966245,0.034071729957805906,0.9540084388185653,94.617194092827,0.47700421940928267,442.9324894514768,340.71729957805906,33.69694092827004,2.3509493670886075,0,0.13628691983122362,28.89282700421941,0,10.187447257383965,80.27299578059072,2.7938818565400845,175.81012658227849,185.725,7.7683544303797465,1.6695147679324893,6.984704641350211,2.2828059071729956,1.465084388185654,2.9983122362869197,0.715506329113924,4.667827004219409,0.13628691983122362,0.034071729957805906,1.7376582278481012,0,11.414029535864978,0,0,0,7.563924050632911,0.5110759493670886,2.7257383966244726,2.0783755274261604,0.6814345991561181,5.6899789029535865,1.056223628691983,5.792194092827004
213_Support_activities_for_mining,0,0,33.628319039892865,14.001519482860749,2.380875119112004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2343866697571403,0.012336140513533699,0,0,0,0,0,0
22_Utilities,23.137215331900943,1.1470290886919732,11.393822281006933,11.74339305089401,0.14201312526662524,176.62063148544593,24.22962398779806,87.49100925080012,15.676064212123633,6.898560661990295,14.6273519024624,47.86934730141168,16.773934911300234,13.726114761347278,91.99719495637574,44.84337532457666,29.981155561096383,67.04111921240609,45.892087634237896,21.777166555309034,51.28858639436966,14.354249738488122,31.40674885704212,11.97826091191189,6.876712488872354,9.460258960069035,33.5751800389979,103.50025810297237,24.939689614131186,10.760225260586605,72.73803035290955,20.444427995114552,278.61336564328025,9.187156796094756,34.59112008898222,23.306538673564997,23.372083192918822,18.17768003412803,70.73346046933835,23.24099415421117,17.899115826874265,72.18090193840203
23_Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT_Food_and_beverage_and_tobacco_products,1633.6127830852433,50.70822525747778,0,0,0,0,0,10627.46599368984,2.9765834532691358,83.45064324343828,0.8504524152197531,67.39835390616544,36.356840750644444,4.2522620760987655,178.59500719614815,6.803619321758025,12.544173124491358,0.21261310380493828,0,0,0,0,0,0,0,0.5315327595123457,78.34792875211976,258.11230801919504,33.69917695308271,0,15.627063129662965,0,0,0,46.881189388988894,1.2756786228296297,0,548.1165816091309,1077.2042904277196,222.9248393394778,242.59155144143458,2451.9606196304508
313TT_Textile_mills_and_textile_product_mills,58.39115958712698,29.468435679484646,0,0.5457117718423082,0,0,544.6203482986236,24.01131796106156,4290.113094338306,3506.4709899727513,145.159331310054,353.62122815381576,126.0594192955732,3.8199824028961578,0.5457117718423082,465.7649972674101,50.478338895413515,0,0,138.88364593386746,4.911405946580774,0,1163.457497567801,146.52361073965977,798.6491780912181,699.6024915018392,225.9246735427156,438.4794086752946,60.84686256041737,0.2728558859211541,54.29832129830966,0,7.91282069171347,26.739876820273103,48.02263592212312,0.8185676577634624,33.83412985422311,15.82564138342694,874.7759702632202,81.31105400450393,431.65801152726584,90.04244235398086
315AL_Apparel_and_leather_and_allied_products,10.373035157943558,0,0,0,0,0,0,6.146983797299886,312.34361420030046,2962.462003811214,0,0,500.5949929926095,0.3841864873312429,0,0,0,0,0,0,0,0,935.8782831389077,0,0,39.95539468244926,128.70247325596637,298.5129006563757,0,0,733.0278178280114,0,0,49.56005686573033,6.915356771962372,0.3841864873312429,137.53876246458495,27.277240600518244,530.9457254917777,35.345156834474345,6.146983797299886,86.8261461368609
