commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Federal_nondefense_Gross_investment_in_equipment,F07N_Federal_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
111CA_Farms,613,137,0,0,0,0,33,5673,32,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,6,12,25,11,0,0,0,0,0,12,0,13,11,0,59,1,178,1,8167,0,0,0,0,-19,0,-15189,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,75,7041,-7041
113FF_Forestry_fishing_and_related_activities,37,65,0,1,0,0,0,4586,0,21,155,49,29,1,213,965,1,0,0,0,0,0,0,0,14,147,0,344,1,0,0,0,0,0,9,0,0,54,0,129,176,1970,108,2051,0,0,0,0,-8,0,-11448,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,301,9404,-9404
211_Oil_and_gas_extraction,0,0,9954,7,0,12413,0,1,0,0,3,4,0,95444,2550,3,0,1,1,0,0,0,0,0,0,0,14,22,20,1,5,0,0,0,4,21,5,2,22,10,12,39,14,0,0,0,0,0,625,0,-123707,0,0,0,0,0,0,0,0,0,0,0,0,86,0,2422,0,123082,-123082
212_Mining_except_oil_and_gas,46,0,2,157,0,286,197,131,7,0,0,77,0,8,525,6,294,836,24,5,21,16,14,5,0,93,1,1,1,0,0,0,0,0,26,1,1,1,2,2,0,11,2,241,10,0,0,0,-14,0,-3449,0,0,0,0,0,0,0,0,0,0,0,0,0,43,67,302,3212,-3212
213_Support_activities_for_mining,0,0,69,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,398,0,0,-507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,-87
22_Utilities,5,0,3,6,0,39,15,15,4,1,4,9,3,1,18,9,6,14,8,5,8,2,6,2,2,2,25,75,18,13,24,10,143,3,10,16,3,4,23,8,12,48,9,781,0,0,0,0,0,0,-1430,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,648,-648
23_Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT_Food_and_beverage_and_tobacco_products,246,3,0,0,0,0,0,9411,1,55,0,120,2,3,446,14,28,0,0,0,0,0,0,0,0,0,18,114,76,0,20,0,0,0,16,0,0,410,500,195,240,2132,94,23355,0,0,0,0,-50,0,-39677,0,0,0,0,0,0,0,0,0,0,0,0,40,166,0,2021,16372,-16372
313TT_Textile_mills_and_textile_product_mills,16,19,0,1,0,0,184,253,2176,2400,69,221,40,2,0,473,97,0,0,52,2,0,213,162,997,57,240,1009,8,0,45,0,1,4,71,1,118,6,1537,32,905,163,409,5485,222,0,111,0,60,0,-18778,0,0,0,0,0,16,0,0,0,3,0,0,0,193,1,702,12880,-12880
315AL_Apparel_and_leather_and_allied_products,17,0,0,0,0,0,0,9,348,1844,0,0,555,0,0,0,0,0,0,0,0,0,1370,0,0,81,29,119,0,0,1211,0,0,16,1,0,22,26,348,50,12,160,661,95110,0,0,0,0,-210,0,-103121,0,0,0,0,0,0,0,0,0,0,0,0,1,80,0,1263,8221,-8221
