commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Federal_nondefense_Gross_investment_in_equipment,F07N_Federal_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
111CA_Farms,1984,149,0,0,0,0,75,17891,16,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,21,30,92,21,0,0,0,0,0,77,1,63,28,0,83,6,1009,6,16358,0,0,0,0,205,0,-38792,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,223,22230,-22230
113FF_Forestry_fishing_and_related_activities,86,143,0,1,0,0,0,6789,0,31,86,31,33,7,498,1660,1,0,0,0,0,0,0,0,30,167,0,766,4,0,0,0,0,0,37,1,1,73,0,164,470,3406,178,2704,0,0,0,0,44,0,-17997,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,574,15248,-15248
211_Oil_and_gas_extraction,0,0,12396,2,0,5439,0,0,0,0,0,0,0,253556,2426,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0,1,4,1,0,7,1,2,5,2,0,0,0,0,0,114,0,-277002,0,0,0,0,0,0,0,0,0,0,0,0,195,0,2839,0,276888,-276888
212_Mining_except_oil_and_gas,83,0,3,231,3,296,367,241,2,0,0,63,0,47,1525,2,535,1574,67,31,2,41,24,20,0,97,4,1,2,0,5,0,0,0,81,1,6,3,3,10,1,8,9,63,239,0,0,0,74,0,-6648,0,0,0,0,0,0,0,0,0,0,0,0,0,29,148,706,6273,-6273
213_Support_activities_for_mining,0,0,171,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,996,0,0,-1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,-219
22_Utilities,16,1,22,22,1,126,27,39,7,0,9,24,7,22,66,27,15,39,22,11,6,4,13,6,3,5,119,226,25,129,40,30,418,5,35,62,16,23,87,19,43,127,24,983,0,0,0,0,0,0,-2992,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,25,2009,-2009
23_Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT_Food_and_beverage_and_tobacco_products,736,3,0,0,0,0,0,16616,0,48,0,343,6,52,1667,43,59,0,0,0,0,0,0,0,0,0,97,310,145,0,37,0,0,0,184,1,0,690,1493,544,842,5984,254,48790,0,0,0,0,479,0,-84259,0,0,0,0,0,0,0,0,0,0,0,0,98,296,0,4441,34990,-34990
313TT_Textile_mills_and_textile_product_mills,53,45,0,4,0,0,327,108,1920,458,175,631,78,16,0,1354,146,0,0,92,0,0,639,232,1711,146,1060,3018,30,3,80,0,3,41,103,1,144,6,2998,64,1463,178,927,10195,203,0,128,0,432,0,-30865,0,0,0,0,0,29,0,0,0,1,0,0,0,318,8,1296,19876,-19876
315AL_Apparel_and_leather_and_allied_products,30,0,0,0,0,0,0,9,627,1411,0,0,1411,0,0,1,1,0,0,0,0,0,1735,0,0,42,239,670,0,0,1671,0,0,37,9,10,140,83,1414,77,19,165,1237,131474,0,0,0,0,1755,0,-147556,0,0,0,0,0,0,0,0,0,0,0,0,5,150,0,3134,14327,-14327
