industry,T008_Total_Industry_Output
111CA_Farms,137795
113FF_Forestry_fishing_and_related_activities,24965
211_Oil_and_gas_extraction,95657
212_Mining_except_oil_and_gas,48266
213_Support_activities_for_mining,29882
22_Utilities,127166
23_Construction,288388
311FT_Food_and_beverage_and_tobacco_products,261661
313TT_Textile_mills_and_textile_product_mills,51291
315AL_Apparel_and_leather_and_allied_products,51294
321_Wood_products,36081
322_Paper_products,70343
323_Printing_and_related_support_activities,34069
324_Petroleum_and_coal_products,194417
325_Chemical_products,157835
326_Plastics_and_rubber_products,49099
327_Nonmetallic_mineral_products,43851
331_Primary_metals,130190
332_Fabricated_metal_products,127471
333_Machinery,134382
334_Computer_and_electronic_products,124944
335_Electrical_equipment_appliances_and_components,53851
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,135174
3364OT_Other_transportation_equipment,91502
337_Furniture_and_related_products,24197
339_Miscellaneous_manufacturing,38347
42_Wholesale_trade,288219
44RT_Retail_trade,326101
48_Transportation,200615
493_Warehousing_and_storage,7845
51_Information,178044
52_Finance_and_insurance,222998
531_Real_estate,344093
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,33629
54_Professional_scientific_and_technical_services,142618
55_Management_of_companies_and_enterprises,57387
56_Administrative_and_waste_management_services,57145
61_Educational_services,31298
62_Health_care_and_social_assistance,174250
71_Arts_entertainment_and_recreation,28611
721_Accommodation,28990
722_Food_services_and_drinking_places,104556
81_Other_services_except_government,99653
GFE_Federal_government_enterprises,26253
GFG_Federal_general_government,218217
GSLE_State_and_local_government_enterprises,34200
GSLG_State_and_local_general_government,295113
