industry,T008_Total_Industry_Output
111CA_Farms,153681
113FF_Forestry_fishing_and_related_activities,29566
211_Oil_and_gas_extraction,68781
212_Mining_except_oil_and_gas,49129
213_Support_activities_for_mining,17547
22_Utilities,191638
23_Construction,509121
311FT_Food_and_beverage_and_tobacco_products,375176
313TT_Textile_mills_and_textile_product_mills,70765
315AL_Apparel_and_leather_and_allied_products,68810
321_Wood_products,55978
322_Paper_products,117577
323_Printing_and_related_support_activities,70774
324_Petroleum_and_coal_products,129976
325_Chemical_products,274437
326_Plastics_and_rubber_products,97669
327_Nonmetallic_mineral_products,62634
331_Primary_metals,137356
332_Fabricated_metal_products,162887
333_Machinery,168484
334_Computer_and_electronic_products,245958
335_Electrical_equipment_appliances_and_components,77865
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,265143
3364OT_Other_transportation_equipment,138949
337_Furniture_and_related_products,42804
339_Miscellaneous_manufacturing,65018
42_Wholesale_trade,455136
44RT_Retail_trade,536172
48_Transportation,301613
493_Warehousing_and_storage,13552
51_Information,374958
52_Finance_and_insurance,552105
531_Real_estate,734924
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,79580
54_Professional_scientific_and_technical_services,379560
55_Management_of_companies_and_enterprises,110856
56_Administrative_and_waste_management_services,154369
61_Educational_services,63003
62_Health_care_and_social_assistance,432341
71_Arts_entertainment_and_recreation,55819
721_Accommodation,67298
722_Food_services_and_drinking_places,196412
81_Other_services_except_government,211463
GFE_Federal_government_enterprises,48526
GFG_Federal_general_government,385927
GSLE_State_and_local_government_enterprises,74313
GSLG_State_and_local_general_government,558596
