industry,Total_Industry_Output
111CA_Farms,182577
113FF_Forestry_fishing_and_related_activities,34504
211_Oil_and_gas_extraction,76828
212_Mining_except_oil_and_gas,52462
213_Support_activities_for_mining,15913
22_Utilities,226927
23_Construction,515095
311FT_Food_and_beverage_and_tobacco_products,445178
313TT_Textile_mills_and_textile_product_mills,76783
315AL_Apparel_and_leather_and_allied_products,74612
321_Wood_products,61968
322_Paper_products,126246
323_Printing_and_related_support_activities,81360
324_Petroleum_and_coal_products,148421
325_Chemical_products,323178
326_Plastics_and_rubber_products,114649
327_Nonmetallic_mineral_products,62169
331_Primary_metals,125238
332_Fabricated_metal_products,174566
333_Machinery,181635
334_Computer_and_electronic_products,278684
335_Electrical_equipment_appliances_and_components,83018
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,283000
3364OT_Other_transportation_equipment,154575
337_Furniture_and_related_products,46196
339_Miscellaneous_manufacturing,80861
42_Wholesale_trade,537779
44RT_Retail_trade,629937
48_Transportation,359066
493_Warehousing_and_storage,17170
51_Information,463912
52_Finance_and_insurance,678649
531_Real_estate,942017
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,97552
54_Professional_scientific_and_technical_services,502971
55_Management_of_companies_and_enterprises,138304
56_Administrative_and_waste_management_services,213491
61_Educational_services,84475
62_Health_care_and_social_assistance,636136
71_Arts_entertainment_and_recreation,81536
721_Accommodation,82471
722_Food_services_and_drinking_places,239602
81_Other_services_except_government,266947
GFE_Federal_government_enterprises,60917
GFG_Federal_general_government,458997
GSLE_State_and_local_government_enterprises,93295
GSLG_State_and_local_general_government,769178
