commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,7657,238,1,1,0,4,238,31883,1197,4,0,11,0,0,83,0,0,1,1,1,2,1,1,3,0,24,352,34,10,0,4,5,87,1,4,1,1,11,135,136,23,741,4,9,-472,4,255
113FF_Forestry_fishing_and_related_activities,2402,1814,1,51,3,41,228,619,13,100,2753,1015,0,1,80,169,7,8,18,15,4,6,3,3,5,19,55,49,2,0,56,2,0,0,1,0,2,43,28,82,19,274,10,0,7,5,42
211_Oil_and_gas_extraction,0,0,645,0,0,2769,0,0,0,0,0,0,0,12670,61,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,149,18,10,1393,8,1592,879,57,18,5,24,202,2,100,779,39,1208,4406,67,20,10,13,43,10,6,254,1,2,67,0,64,1,77,2,6,1,23,32,23,5,11,0,24,67,38,164,64
213_Support_activities_for_mining,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,469,44,172,550,1,17,150,694,314,155,237,580,130,506,1337,248,777,1537,647,334,236,223,432,224,77,113,389,3351,391,32,328,740,674,38,199,307,281,445,1067,159,309,457,681,95,289,805,2271
23_Construction,541,32,0,132,0,90,80,54,13,3,23,149,29,322,201,45,54,56,34,23,13,6,45,29,4,7,121,661,427,29,156,343,8560,72,102,69,124,241,668,96,66,139,267,18,1001,515,6123
311FT_Food_and_beverage_and_tobacco_products,4833,77,3,2,0,4,70,18581,52,412,4,160,6,37,481,8,11,11,16,23,28,10,10,35,26,47,341,1059,146,0,50,56,12,5,50,0,9,12,1131,165,371,13214,120,49,202,2,1514
313TT_Textile_mills_and_textile_product_mills,88,127,4,24,0,8,899,63,7831,7977,109,226,213,5,40,699,56,7,39,33,2,63,660,83,557,368,541,98,119,0,16,43,1,1,8,0,11,0,218,16,44,17,160,10,113,3,74
315AL_Apparel_and_leather_and_allied_products,15,9,2,6,1,10,47,28,19,5353,12,16,31,3,16,15,10,24,49,26,33,18,50,23,37,84,13,42,57,0,21,7,3,26,25,0,14,2,198,38,21,0,477,1,78,14,76
