commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Private_fixed_investment_in_equipment,F02N_Private_fixed_investment_in_intellectual_property_products,F02T_Private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_National_defense_Gross_investment_except_structures,F06S_National_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Nondefense_Gross_investment_except_structures,F07S_Nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_government_gross_investment_except_structures,F10S_State_and_local_government_gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
111CA_Farms,20974,2261,3,2,0,42,1303,103876,3012,10,1,14,1,3,676,2,1,2,2,2,5,1,5,3,0,35,1507,147,17,0,20,4,229,0,46,4,9,25,318,27,105,1917,90,26529,0,0,0,5936,16383,-9328,0,0,0,0,0,0,0,0,0,6,-592,0,1078,137191,39521
113FF_Forestry_fishing_and_related_activities,9413,5063,5,94,14,57,177,2631,16,161,11075,3401,27,15,156,714,31,43,42,56,105,33,48,94,27,234,168,474,20,0,114,71,0,19,131,1,58,113,714,49,276,1472,155,3928,0,0,0,39,5365,-6163,0,0,0,0,0,0,0,0,0,6,24,203,183,37981,3168
211_Oil_and_gas_extraction,0,0,3067,0,0,26235,0,0,0,0,0,0,0,73898,5926,0,0,0,0,0,0,0,0,0,0,0,9,0,824,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3924,-45992,0,0,0,0,0,0,0,0,0,0,0,692,0,110662,-42067
212_Mining_except_oil_and_gas,340,3,5,8024,5,9267,5494,287,59,17,2,832,4,386,3993,37,4811,7594,47,68,82,63,343,79,15,56,16,21,37,0,38,4,543,2,3,4,10,2,22,2,6,11,14,65,63,0,0,-5,5854,-2456,0,0,0,0,0,0,0,0,0,859,35,1414,315,45276,3521
213_Support_activities_for_mining,0,0,1011,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,14197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,14216
22_Utilities,2824,104,1885,2752,238,119,976,4699,1826,746,1001,4195,1178,2242,7606,2767,3089,6291,2705,1849,2224,846,1859,1289,528,845,4641,12461,1466,154,1581,2262,9841,377,1887,1969,1850,663,6433,959,3049,6652,3472,122328,0,0,0,0,654,-727,0,0,0,0,0,0,0,0,0,529,2507,6439,20312,146191,122255
23_Construction,456,285,0,4,0,1927,324,276,138,34,32,168,93,168,395,136,83,201,305,220,510,62,192,413,53,55,999,2169,3031,119,4208,528,31170,145,412,778,206,5251,1893,294,814,906,1423,0,0,0,357720,0,94,0,0,0,5220,0,0,10292,0,0,104232,646,4100,13892,19918,99434,477558
311FT_Food_and_beverage_and_tobacco_products,15777,256,0,0,0,0,0,67225,11,818,0,649,0,109,1436,13,19,0,0,0,0,0,0,9,61,147,1628,5165,250,0,186,0,0,0,227,1,2,0,7636,942,3441,56633,891,278850,0,0,0,792,24582,-24507,0,0,0,0,0,0,0,2,0,178,512,0,9457,173680,279719
313TT_Textile_mills_and_textile_product_mills,737,142,3,97,0,57,1655,105,17627,17407,171,745,996,3,45,2247,174,3,3,264,8,10,3759,352,2560,1360,2050,264,709,0,57,103,276,1,40,1,35,13,869,81,492,159,417,18298,2921,0,0,426,5449,-9836,0,0,0,0,22,0,0,20,0,112,225,19,675,57127,17299
315AL_Apparel_and_leather_and_allied_products,54,15,3,6,0,4,0,0,98,10375,0,8,566,1,3,16,0,0,32,12,6,0,456,13,85,308,567,302,131,1,131,21,16,80,183,0,143,20,931,154,82,16,889,104864,0,0,0,2042,5199,-56674,0,0,0,0,0,0,0,0,0,29,525,47,1523,17850,55431
321_Wood_products,666,28,56,97,5,1068,23793,166,58,18,13154,2622,42,61,197,71,446,237,224,383,164,191,641,238,4125,873,1584,232,525,7,571,87,4437,10,152,4,520,38,415,51,63,86,150,920,1,0,4770,399,3347,-6713,0,0,0,0,1,0,0,0,0,0,26,0,153,58740,2727
322_Paper_products,1132,112,6,36,5,131,2004,13314,185,251,189,28403,17627,183,5073,2420,1571,115,1135,854,1239,875,614,65,889,1592,4257,4888,246,17,6277,876,1043,130,1671,103,1737,400,3634,189,400,1667,1155,11311,0,0,0,546,9846,-11462,0,0,0,0,0,0,0,0,0,181,607,38,3321,112859,10240
323_Printing_and_related_support_activities,4,8,1,3,0,59,151,1390,5,14,4,174,7607,6,523,3,10,10,46,13,81,9,3,36,9,49,4270,269,798,8,11009,4220,1048,38,3508,399,1609,661,3029,120,165,423,6037,2197,0,0,0,92,1316,-731,0,0,0,0,0,0,0,0,0,646,868,136,3940,53414,2875
324_Petroleum_and_coal_products,3530,428,551,1569,660,1386,7087,1336,268,153,342,864,204,8418,2768,345,639,654,563,433,278,256,410,333,244,325,1302,3005,18286,57,536,407,1599,393,747,279,2349,241,1275,233,218,596,1187,68668,0,0,0,61,9065,-12099,0,0,0,0,0,0,0,0,0,699,2445,3135,11865,84898,65695
325_Chemical_products,9549,1665,1146,1302,1036,455,6502,4627,13793,984,561,9150,2580,1907,74898,30203,2751,1006,3694,847,1796,2254,3875,1148,761,2833,1637,478,395,2,756,88,1881,79,2096,263,2462,302,18938,253,228,338,1752,75825,2045,0,0,1219,41252,-37619,0,0,0,0,0,0,0,0,0,149,4423,1370,11032,230244,82722
326_Plastics_and_rubber_products,1055,215,21,583,5,556,9079,8262,607,653,378,3611,1571,392,7541,7046,867,409,2395,3609,4695,2844,11410,2802,1985,2990,2055,2301,2315,9,855,174,2119,411,681,35,877,191,8119,126,358,2086,1555,12340,249,0,0,569,6740,-10003,0,0,0,0,56,0,0,0,0,16,497,124,1986,102471,9951
327_Nonmetallic_mineral_products,205,12,205,227,397,803,23043,4214,245,14,677,148,24,490,1008,863,7118,1302,730,698,1114,1506,1984,471,320,460,317,399,334,1,329,38,4048,64,438,25,133,275,1256,27,343,696,484,4803,0,0,0,16,3272,-7016,0,0,0,0,0,0,0,0,0,3,206,515,548,58760,1075
331_Primary_metals,49,1,1056,535,477,183,3723,20,5,3,59,434,88,25,473,481,450,31988,36604,17603,3599,7434,17692,4609,1891,3288,373,33,472,0,88,7,668,1,22,4,25,4,66,3,9,16,89,715,17,0,0,-122,8688,-21360,0,0,0,0,0,0,0,0,0,0,215,0,148,135014,-12062
332_Fabricated_metal_products,693,305,565,947,323,1627,36018,13550,33,92,1470,795,78,293,3565,1228,520,2918,16011,13638,10860,2962,12472,7040,2949,1952,1049,1457,2707,14,1656,285,6846,398,380,108,482,100,1322,133,122,241,1623,7009,6223,0,0,71,9507,-13304,0,1940,0,0,188,0,0,534,0,51,3871,29,1389,157168,12169
333_Machinery,892,82,391,2121,617,761,9165,485,350,127,191,637,1068,81,2181,967,363,1695,1981,12039,1169,608,5572,2906,125,522,1735,742,1027,16,429,348,1838,249,1087,12,897,278,1241,98,83,239,2046,4711,94155,0,0,492,39757,-39233,0,2532,0,0,940,0,0,4787,0,113,1102,929,2644,64247,108142
334_Computer_and_electronic_products,17,16,4,7,33,357,3259,34,0,3,0,35,178,25,1008,101,27,19,432,909,71941,2198,8238,12049,10,1274,4043,520,500,3,12266,573,720,207,3547,1076,2534,361,2481,26,26,53,1419,25673,95114,0,0,-305,63106,-93102,0,17724,0,0,4940,0,0,4063,0,6,12098,89,1147,145870,117212
335_Electrical_equipment_appliances_and_components,515,30,104,188,0,926,14996,293,19,12,330,119,32,46,379,142,134,779,664,6583,4661,5145,3015,1598,30,347,482,587,1006,2,742,59,2834,89,731,38,726,108,459,81,69,118,997,19404,12626,0,0,206,14251,-19733,0,816,0,0,319,0,0,1010,0,72,878,587,807,52561,28897
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,626,202,112,511,9,143,1447,225,10,12,262,40,120,44,37,41,86,906,214,4354,10,377,77798,3084,89,16,1787,10478,2253,10,402,70,343,821,358,71,1944,107,490,84,64,376,8699,106861,81424,0,0,386,43414,-92227,0,1904,0,0,1048,0,0,6668,0,851,327,406,2185,122901,149478
3364OT_Other_transportation_equipment,0,1,0,2,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26725,0,0,41,1,3130,0,0,1,4,0,0,0,0,4,0,50,0,0,128,6853,18941,0,0,-1882,47442,-15838,0,24332,0,0,3570,0,0,986,0,7,22227,98,25,52502,84404
337_Furniture_and_related_products,20,0,11,9,0,195,6000,15,4,3,268,20,7,10,27,11,6,10,7,8,890,7,44,65,559,56,11,23,62,0,89,5,977,1,13,1,22,3,23,4,9,10,15,20023,16704,0,0,84,1688,-5139,0,8,0,0,194,0,0,1854,0,134,0,0,5,9661,35415
339_Miscellaneous_manufacturing,92,10,20,36,8,100,2449,57,10,674,846,28,87,8,167,138,55,25,123,668,209,167,409,103,59,4260,772,822,213,3,218,426,545,147,644,1,404,221,10222,241,120,345,1859,43213,18454,0,0,682,9031,-30391,0,144,0,0,221,0,0,1109,0,34,581,50,4081,32761,42462
42_Wholesale_trade,9036,976,806,1566,423,1589,19569,35415,4293,4476,4081,6444,3234,6428,19116,7461,2330,7343,8608,10528,17408,4748,16183,4821,2788,5395,12004,3684,7284,26,6746,779,4083,465,2119,360,2142,521,8216,401,780,7872,3428,121570,39837,649,772,2710,54659,20714,0,3145,0,0,880,0,0,2240,0,475,4028,1373,9114,280966,247175
