commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_Federal_national_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Federal_national_nondefense_Consumption_expenditures,F07E_Federal_national_nondefense_Gross_investment_in_equipment,F07N_Federal_national_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_national_nondefense_Gross_investment_in_structures,F10C_State_and_local_Consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government
111CA_Farms,55880,640,0,36,12,0,2032,212171,1819,0,0,0,0,0,7608,0,0,0,0,0,0,0,0,0,0,290,1313,2037,111,0,0,1,5,0,673,25,897,102,0,492,34,1623,36,77059,0,0,0,0,-2623,48425,-38920,0,0,0,0,0,0,0,0,0,0,0,0,0,-368
113FF_Forestry_fishing_and_related_activities,21360,6174,0,57,0,0,0,7347,0,39,12079,4881,46,17,336,1396,1,0,0,0,0,0,0,0,33,152,0,643,4,0,0,0,0,0,197,10,1,67,0,163,427,3228,167,8212,0,0,0,0,803,6058,-16234,0,0,0,0,0,0,0,0,0,0,0,0,14,98
211_Oil_and_gas_extraction,0,0,9514,8,0,17691,0,0,0,0,0,9,0,234967,2205,0,0,10,0,0,0,0,0,0,0,0,4,30,4,12,33,0,0,0,41,0,0,14,30,19,2,0,21,0,0,0,0,0,2033,17929,-115863,0,0,0,0,0,0,0,0,0,0,0,0,861,0
212_Mining_except_oil_and_gas,1616,1,33,6418,29,8618,15005,919,54,0,8,1078,0,1850,3427,90,7289,9642,366,87,3,65,49,115,19,98,10,1,119,2,471,0,28,0,700,31,399,223,110,713,46,237,801,137,194,0,0,0,402,8131,-995,0,0,0,0,0,0,0,0,0,0,0,0,0,519
213_Support_activities_for_mining,0,0,8033,1084,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,1651,0,0,75831,-4,3512,-695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,4756,127,3100,3056,76,31518,5704,9055,1185,71,1859,5656,1319,5269,15760,5006,3604,6260,4504,2121,1246,772,3152,1179,629,906,13370,29308,4098,11001,7344,5204,90010,1032,4810,7988,3702,6194,17129,3342,6038,18552,4774,260288,0,0,0,0,0,3721,-2381,0,0,0,0,0,0,0,0,0,0,0,0,1022,1893
23_Construction,1632,39,1135,2079,984,9316,303,1163,87,11,194,727,208,8146,1648,510,391,536,641,408,143,119,509,159,89,147,1975,4071,6307,816,2475,5624,137276,324,929,557,482,608,1774,596,900,1702,4000,0,0,0,526426,465009,0,97,0,0,0,0,4840,0,0,0,13376,0,0,0,288970,747,9286
311FT_Food_and_beverage_and_tobacco_products,30682,341,0,0,0,0,0,180806,12,722,44,1285,602,514,3701,151,237,6,0,0,0,0,0,0,0,6,2253,4655,696,0,118,0,0,0,5516,103,0,6115,23365,5241,7209,45325,2777,589407,0,0,0,0,7075,61901,-88465,0,0,0,0,0,0,0,0,0,0,0,0,605,2186
313TT_Textile_mills_and_textile_product_mills,225,71,0,2,0,0,2135,151,8523,1656,578,3008,461,112,9,2507,410,0,0,962,1,1,4024,759,2729,1994,1682,4858,248,3,145,0,208,186,255,6,285,41,3623,292,1622,248,1264,20912,1549,0,598,0,769,8377,-31113,0,0,0,0,0,11,0,0,0,1,0,0,1,863
315AL_Apparel_and_leather_and_allied_products,34,0,0,0,0,3,0,11,539,1406,0,0,1258,16,0,1,1,0,0,0,0,0,1896,0,0,58,700,971,0,0,835,0,0,100,35,11,322,71,1103,130,11,88,1653,144475,0,0,0,0,-652,4345,-142484,0,0,0,0,0,0,0,0,0,0,0,0,47,104
