commodity,F010_Personal_consumption_expenditures
111CA_Farms,5361
113FF_Forestry_fishing_and_related_activities,123
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,655
213_Support_activities_for_mining,0
22_Utilities,5475
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,35705
313TT_Textile_mills_and_textile_product_mills,2110
315AL_Apparel_and_leather_and_allied_products,12641
321_Wood_products,179
322_Paper_products,954
323_Printing_and_related_support_activities,182
324_Petroleum_and_coal_products,4443
325_Chemical_products,3648
326_Plastics_and_rubber_products,959
327_Nonmetallic_mineral_products,286
331_Primary_metals,37
332_Fabricated_metal_products,483
333_Machinery,457
334_Computer_and_electronic_products,1172
335_Electrical_equipment_appliances_and_components,2480
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,8944
3364OT_Other_transportation_equipment,213
337_Furniture_and_related_products,1998
339_Miscellaneous_manufacturing,2853
42_Wholesale_trade,6851
44RT_Retail_trade,37845
48_Transportation,6975
493_Warehousing_and_storage,6
51_Information,6380
52_Finance_and_insurance,8279
531_Real_estate,31231
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,1173
54_Professional_scientific_and_technical_services,1714
55_Management_of_companies_and_enterprises,0
56_Administrative_and_waste_management_services,1029
61_Educational_services,2321
62_Health_care_and_social_assistance,10082
71_Arts_entertainment_and_recreation,2101
721_Accommodation,1354
722_Food_services_and_drinking_places,14200
81_Other_services_except_government,14504
GFE_Federal_government_enterprises,490
GFG_Federal_general_government,0
GSLE_State_and_local_government_enterprises,538
GSLG_State_and_local_general_government,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,919
Used_Scrap_used_and_secondhand_goods,255
