commodity,F010_Personal_consumption_expenditures
111CA_Farms,83252
113FF_Forestry_fishing_and_related_activities,9159
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,33
213_Support_activities_for_mining,0
22_Utilities,287931
23_Construction,0
311FT_Food_and_beverage_and_tobacco_products,616289
313TT_Textile_mills_and_textile_product_mills,21391
315AL_Apparel_and_leather_and_allied_products,147254
321_Wood_products,3605
322_Paper_products,19789
323_Printing_and_related_support_activities,3270
324_Petroleum_and_coal_products,198500
325_Chemical_products,320789
326_Plastics_and_rubber_products,37964
327_Nonmetallic_mineral_products,10227
331_Primary_metals,786
332_Fabricated_metal_products,17299
333_Machinery,8897
334_Computer_and_electronic_products,89406
335_Electrical_equipment_appliances_and_components,37749
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,243266
3364OT_Other_transportation_equipment,19437
337_Furniture_and_related_products,55272
339_Miscellaneous_manufacturing,101496
42_Wholesale_trade,581239
441_Motor_vehicle_and_parts_dealers,166030
445_Food_and_beverage_stores,217862
452_General_merchandise_stores,213685
481_Air_transportation,148639
482_Rail_transportation,8546
483_Water_transportation,25127
484_Truck_transportation,95704
485_Transit_and_ground_passenger_transportation,51882
486_Pipeline_transportation,2748
487OS_Other_transportation_and_support_activities,24752
493_Warehousing_and_storage,88
4A0_Other_retail,810420
511_Publishing_industries_except_internet_includes_software,90154
512_Motion_picture_and_sound_recording_industries,24684
513_Broadcasting_and_telecommunications,335962
514_Data_processing_internet_publishing_and_other_information_services,65972
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,309278
523_Securities_commodity_contracts_and_investments,245671
524_Insurance_carriers_and_related_activities,430313
525_Funds_trusts_and_other_financial_vehicles,160067
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,111460
5411_Legal_services,106338
5412OP_Miscellaneous_professional_scientific_and_technical_services,76369
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,0
561_Administrative_and_support_services,70797
562_Waste_management_and_remediation_services,27776
61_Educational_services,365254
621_Ambulatory_health_care_services,1097879
622_Hospitals,1118350
623_Nursing_and_residential_care_facilities,250932
624_Social_assistance,223076
711AS_Performing_arts_spectator_sports_museums_and_related_activities,82395
713_Amusements_gambling_and_recreation_industries,209556
721_Accommodation,165520
722_Food_services_and_drinking_places,780950
81_Other_services_except_government,655784
GFE_Federal_government_enterprises,6155
GFGD_Federal_general_government_defense,0
GFGN_Federal_general_government_nondefense,0
