commodity,import_PCE
111CA_Farms,845.4184869821516
113FF_Forestry_fishing_and_related_activities,238.89605346912793
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,3.599605522682446
213_Support_activities_for_mining,-0
22_Utilities,1771.0457166208485
23_Construction,-0
311FT_Food_and_beverage_and_tobacco_products,8243.059337613598
313TT_Textile_mills_and_textile_product_mills,439.0918418628026
315AL_Apparel_and_leather_and_allied_products,11553.748653378872
321_Wood_products,68.98554199001532
322_Paper_products,428.1035370879121
323_Printing_and_related_support_activities,6.858227848101266
324_Petroleum_and_coal_products,5143.387758359269
325_Chemical_products,1735.1007265871585
326_Plastics_and_rubber_products,463.55469897209986
327_Nonmetallic_mineral_products,141.46981183159605
331_Primary_metals,48.09332876482638
332_Fabricated_metal_products,146.018410041841
333_Machinery,355.61195983143864
334_Computer_and_electronic_products,1444.0621598666205
335_Electrical_equipment_appliances_and_components,927.7769754446718
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,9144.01024765158
3364OT_Other_transportation_equipment,294.73361302231916
337_Furniture_and_related_products,455.82114518550287
339_Miscellaneous_manufacturing,2980.6121207311585
42_Wholesale_trade,0
44RT_Retail_trade,-0
481_Air_transportation,1421.337591654698
482_Rail_transportation,21.05106961790528
483_Water_transportation,0
484_Truck_transportation,-0
485_Transit_and_ground_passenger_transportation,-0
486_Pipeline_transportation,-0
487OS_Other_transportation_and_support_activities,-0
493_Warehousing_and_storage,-0
511_Publishing_industries_except_internet_includes_software,224.90296495956875
512_Motion_picture_and_sound_recording_industries,21.805090348171
513_Broadcasting_and_telecommunications,-0
514_Data_processing_internet_publishing_and_other_information_services,-0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,-0
523_Securities_commodity_contracts_and_investments,32.53284008307373
524_Insurance_carriers_and_related_activities,369.47623194463796
525_Funds_trusts_and_other_financial_vehicles,-0
531_Real_estate,-0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,-0
5411_Legal_services,-0
5412OP_Miscellaneous_professional_scientific_and_technical_services,6.352827798553825
5415_Computer_systems_design_and_related_services,-0
55_Management_of_companies_and_enterprises,-0
561_Administrative_and_support_services,0.13137192820088164
562_Waste_management_and_remediation_services,-0
61_Educational_services,-0
621_Ambulatory_health_care_services,-0
622HO_Hospitals_and_nursing_and_residential_care_facilities,-0
624_Social_assistance,-0
711AS_Performing_arts_spectator_sports_museums_and_related_activities,-0
713_Amusements_gambling_and_recreation_industries,-0
721_Accommodation,-0
722_Food_services_and_drinking_places,-0
81_Other_services_except_government,77.87763964577657
GFE_Federal_government_enterprises,-0
GFG_Federal_general_government,-0
GSLE_State_and_local_government_enterprises,-0
GSLG_State_and_local_general_government,-0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-463.5426113630302
Used_Scrap_used_and_secondhand_goods,-22838.632978723406
