commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,882.0215654167349,62.90098247912232,0.16893728508269198,0,0,0,0,0,0.16893728508269198,0,0,0,0,0,0,0,0,2.196184706074996,4458.3112657606025,146.41231373833307,0.11262485672179466,0,0,0,15.316980514164074,0,70.72841002128705,2.8156214180448664,0,0.11262485672179466,0.05631242836089733,0,0,0,0.05631242836089733,0,0,0.11262485672179466,0,0,0,0,0,0,1.3514982806615359,0,0,0,0.22524971344358932,0.11262485672179466,0,0,3.4350581300147374,0.05631242836089733,12.89554609464549,1.4078107090224332,4.279744555428197,2.1398722777140984,3.8292451285410185,87.05901424594727,2.3088095627967906,35.36420501064352,0.3941869985262813,41.27700998853774,0.11262485672179466
113FF_Forestry_fishing_and_related_activities,1017.3396562698919,911.1143857415659,1.329662635264163,7.830235518777848,0,8.273456397199237,67.51731381285805,1149.8626989178867,0.8864417568427754,1.6251432208784213,1.92062380649268,0.5909611712285169,0.7387014640356461,2.068364099299809,5.614131126670911,0.5909611712285169,3.398026734563972,8.568936982813495,329.6085932527053,34.71896880967537,34.42348822406111,300.06053469127943,1.1819223424570338,1.329662635264163,54.220687460216425,109.47555697008275,58.6528962444303,8.864417568427752,0.14774029280712922,2.511584977721197,0.14774029280712922,0.4432208784213877,0.14774029280712922,1.7728835136855507,0.14774029280712922,0,0.14774029280712922,0.14774029280712922,2.216104392106938,0.14774029280712922,0.4432208784213877,0.29548058561425844,0.29548058561425844,0,0,0.29548058561425844,0.14774029280712922,0.14774029280712922,0.29548058561425844,0,1.7728835136855507,0.29548058561425844,12.114704010184596,1.0341820496499046,9.750859325270529,3.1025461489497137,10.341820496499045,1.92062380649268,12.114704010184596,130.8978994271165,5.318650541056652,6.500572883513685,2.9548058561425843,22.7520050922979,8.421196690006365
211_Oil_and_gas_extraction,0,0,1556.870244884267,0,0,8519.980342167059,0,0,0,14.042181434801362,0,0,0,0,0,0,0,0,0,0,0,0,0,35861.013542914654,763.7134806153257,35.33194038433891,0,0,0,0,0,0,0,567.5759141227776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358920784013035,0,0,0,0,0,0,0,0,0,0,0,39.40870273637802,0,0,0
212_Mining_except_oil_and_gas,34.55621301775148,0.43195266272189353,4.031558185404339,778.9546351084813,4.7514792899408285,1714.70808678501,260.1794871794872,1.5838264299802762,420.577909270217,1635.5167652859961,13.390532544378699,17.134122287968445,8.495069033530573,15.694280078895465,44.20315581854044,11.518737672583828,1.0078895463510849,80.48717948717949,18.573964497041423,5.903353057199212,1.2958579881656807,59.46548323471401,0.5759368836291914,48.37869822485207,376.8067061143985,8.063116370808679,0.7199211045364893,1.0078895463510849,0,4.7514792899408285,0.7199211045364893,0.14398422090729784,0.14398422090729784,3.1676528599605525,0.2879684418145957,0,0.2879684418145957,0,5.039447731755424,0,0.14398422090729784,0,0,0,34.98816568047338,0.14398422090729784,0,0,0,0.14398422090729784,0.2879684418145957,0.43195266272189353,3.599605522682446,0,0.8639053254437871,0.2879684418145957,0.14398422090729784,0.14398422090729784,0.43195266272189353,0.43195266272189353,1.0078895463510849,9.934911242603551,73.5759368836292,33.98027613412229,106.11637080867851
213_Support_activities_for_mining,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22_Utilities,70.89950962181439,4.806746415038264,51.809859573519574,79.44865145998959,3.261720781633108,4.120068355747083,37.629957649156694,24.239735492978674,99.08764395571735,280.43931941451814,75.01957797756148,45.389419719147035,40.96034623671892,25.750427223419273,56.78827550338063,30.385504123634743,9.54482502414741,12.051199940560219,92.22086336280556,37.320952522475665,14.351571439185674,87.826123783342,14.317237536221116,122.2630284567947,213.24787131287613,43.36371944423806,88.65013745449141,195.35990786834088,2.0600341778735416,3.0557173638457535,5.150085444683854,7.2101196225573965,3.639393714243257,11.124184560517126,3.8797310349951704,2.437707110483691,6.832446689947247,2.8497139460583996,14.90091388661862,4.60074299725091,30.488505832528418,1.6480273422988334,3.1587190727394305,6.557775466230774,52.42786982688164,6.489107660301657,7.175785719592837,2.1287019838026597,17.71629392971246,25.956430641206627,10.918181142729772,14.042566312504643,24.548740619659707,19.08965004829482,73.44021844119176,9.270153800430938,5.4247566684003266,6.35177204844342,35.39825395646036,63.929727320008915,44.084731406493795,38.9689798647745,6.214436436585184,238.27728657403966,177.84961735641576
23_Construction,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
321_Wood_products,22.442675018924753,3.1906453641362904,20.4417618244664,11.356534346925779,2.920251689209486,28.986201952153415,898.734496721712,313.1158755652393,14.871652120974234,13.141132601442687,27.147524962651147,14.493100976076708,4.488535003784951,10.004565972291758,22.496753753910113,19.252029654788462,141.469970721704,36.07051623523569,3.8936689189459814,0.9193384947511345,2.5957792792973207,83.7138817573386,0.05407873498536085,3.0824878941655687,3.4610390390630945,7.6251016329358805,24.06503706848558,1.5682833145754647,0.05407873498536085,4.758928678711755,0.05407873498536085,0.6489448198243302,0.16223620495608254,5.516030968506807,0.5948660848389694,0.16223620495608254,0.1081574699707217,1.2438109046632997,14.60125844604743,0.1081574699707217,0.2163149399414434,0,0,0.2703936749268043,69.81564686610086,0.05407873498536085,0.16223620495608254,0.05407873498536085,0.05407873498536085,0.05407873498536085,0.16223620495608254,6.110897053345776,0.703023554809691,0.16223620495608254,1.460125844604743,6.164975788331137,3.623275244019177,0.3244724099121651,2.3253856043705166,1.1897321696779388,1.3519683746340212,1.0274959647218562,3.623275244019177,4.380377533814229,10.11272344226248
327_Nonmetallic_mineral_products,10.228348270374402,1.3573163581539491,17.88749057710026,11.052433202110729,51.674972778289636,29.8124842951671,884.9217899321551,16.53017421894631,262.2529106290309,35.72650556998074,39.99235698132172,26.903949241980065,33.011872853672834,36.114310243739006,72.32557165591759,19.681087193232266,9.06493424909959,14.494199681715386,158.6605871513527,5.041460758857526,0.43628025797805514,3.7326199849233603,0.43628025797805514,13.282310076220789,38.5380894547282,19.826513945891616,8.095422564703911,5.865545690593852,0.1454267526593517,6.7865817907697465,0.2908535053187034,0.7271337632967585,2.1814012898902755,6.204874780132339,0.2423779210989195,0,0,0.0969511684395678,15.17285786079236,0.0484755842197839,0.7271337632967585,0.3393290895384873,0.0484755842197839,0.0484755842197839,74.9917287880057,1.5512186950330848,0.0484755842197839,0.0484755842197839,0.2908535053187034,0.484755842197839,0.2423779210989195,0.1454267526593517,5.33231426417623,1.98749895301114,11.343286707429433,0.1454267526593517,0.2423779210989195,0.2908535053187034,6.447252701231259,12.749078649803167,11.779566965407488,2.86005946896725,3.490242063824441,17.984441745539826,15.706089287209984
331_Primary_metals,27.981682554247165,0.8954138417359093,147.967137346859,86.63128918794922,769.6081969720141,55.51565818762638,1484.8200030585717,37.60738135290819,95.58542760530833,7568.037790351906,7046.235374080305,3172.4512412703266,780.8008699937129,1524.6659190158196,4067.865083006236,1030.8451852984656,322.7966899457953,635.2961207116276,5.372483050415456,9.401845338227048,1.1192673021698867,73.87164194321252,25.96700141034137,30.22021715858694,424.42616098282105,112.15058367742265,1.7908276834718186,2.910094985641705,0.22385346043397733,74.54320232451445,3.5816553669436373,0.8954138417359093,5.1486295899814785,10.744966100830911,1.5669742230378414,0,0.44770692086795466,0,27.53397563337921,0,0.8954138417359093,0.22385346043397733,0.22385346043397733,0.22385346043397733,144.1616285194814,0.22385346043397733,0,0,1.1192673021698867,0.44770692086795466,0.22385346043397733,0.8954138417359093,2.686241525207728,2.014681143905796,13.878914546906595,3.8055088273776145,0.44770692086795466,0.44770692086795466,0.8954138417359093,2.686241525207728,2.686241525207728,58.425753173268085,7.163310733887275,10.968819561264889,19.47525105775603
