commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,4369.285035438732,59.188682963860515,0,5.044490025329021,3.026694015197413,0,162.01220464681708,0,0,0,0,0,0,0,0,0,0,29.678416315685745,20587.488616539045,108.54061037832945,0,0,0,0,1217.3195179456484,0,151.50285042738162,30.687314320751547,79.61886756644306,16.89904158485222,26.819871967999298,0,0,0,0,0,0,8.491558209303852,0,0,0,0,0,0.08407483375548369,0,0,0,0,0.33629933502193476,0,0.16814966751096738,0.08407483375548369,70.6228603546063,2.7744695139309616,65.91466966429921,0,12.022701227034167,0,0,0,0,0,34.89105600852573,3.6152178514857987,146.3742855682971
113FF_Forestry_fishing_and_related_activities,5475.3222898321055,1391.8630526111203,0,15.71770299161272,0,0,0,2361.040800155486,0.48362163051116064,0,0,0,0,0,0,0,9.672432610223213,50.780271203671866,1592.3242184579965,0,7.979756903434151,897.6017462287141,8.947000164456473,4.352594674600446,171.685678831462,524.9712799198649,0,0,168.3003274178839,0,0.48362163051116064,0,0,0,0,0,0,0.7254324457667409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.29664957316071,2.6599189678113837,0.24181081525558032,0,16.926757067890623,0,0,0,0,0,38.68973044089285,96.24070447172096,766.0566627296785
211_Oil_and_gas_extraction,0,0,16279.119635065064,2.823458339896814,0.4705763899828023,14261.75865120879,0,0.4705763899828023,0,12.234986139552861,0,0,0,0,0,0,0,0,0,0,0,0.4705763899828023,0,247707.1764994373,2510.0544641682677,0.4705763899828023,4.705763899828023,0.4705763899828023,0.9411527799656046,0.4705763899828023,2.3528819499140115,0,0,0,0,0,19.293631989294894,0,0.4705763899828023,0.4705763899828023,0,0,0,0,0,0,0,0,0,0,0,0,1.8823055599312093,5.176340289810826,0.4705763899828023,0.9411527799656046,0.9411527799656046,0.9411527799656046,6.1174930697764305,0.9411527799656046,0.4705763899828023,0,1.411729169948407,2.823458339896814,7.058645849742035
212_Mining_except_oil_and_gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,96.88058962465496,13.877248797700691,9.120184399988617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27501778549272926,0.014865826242850232,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,19.412189980356775,0.6708226200552566,29.249532874459014,15.691416069118612,0.7999872239168277,121.0105674177939,17.278890716578566,7.449881022725458,15.362254659277832,34.4619496302921,18.937197566156158,8.599862657105898,5.154084354089146,3.420778702269352,11.866477154766278,5.391580561189453,2.3499624702556816,4.954087548109938,41.3535062363256,6.191567785106281,0.27499560822140956,24.578774134819618,5.720741971030232,41.09517702860246,78.61957775045116,21.2038280339205,69.2613938706741,11.27481993707779,33.94529121484581,21.166328632799402,61.31152083300063,0.4166600124566811,0.441659613204082,0.4583260137023492,4.7165913410096305,0.39582701183384705,5.1749173547119796,3.637441908746826,53.015819984988106,3.6916077103661946,1.6208074484564896,15.583084465879875,5.933238577383139,11.608147947043136,5.349914559943786,2.2457974671415113,10.162337703818453,0.024999600747400867,271.33316671191534,7.29155021799192,2.474960473992686,1.2666464378683107,17.32888991807337,33.66196240637527,10.658163118641903,2.1082996630308064,29.83285689189837,12.32063656834406,39.26603957391763,9.954007697590113,4.849922544995768,2.7916220834597634,11.028990529728349,24.741271539677726,77.9237555296485
23_Construction,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
321_Wood_products,21.334332271961042,5.248923019292002,0,6.5188237497658745,10.24386589248923,0,2622.09102828245,1601.8527814197416,31.578198164450274,29.54635699569208,19.895111444090656,76.87132421801836,27.59917587563214,13.968908035212587,257.1972279453081,24.63607417119311,516.2569769619779,90.9248923019292,32.67877879752763,3.301741899232066,0.1693200973965162,436.253230942124,0.3386401947930324,0,23.366173440719237,108.95748267465818,194.0408316164076,4.571642629705938,34.964600112380595,6.68814384716239,56.891552725229445,0,118.10076793407006,0,4.91028282449897,0,1.0159205843790973,7.026784041955422,15.069488668289942,8.973965162015359,7.280764188050197,56.129612286945125,116.83086720359618,6.2648436036711,0.3386401947930324,1.1852406817756136,0,2.8784416557407755,388.4203034276082,43.176624836111635,1.0159205843790973,1.3545607791721297,50.28806892676531,0.1693200973965162,41.31410376474996,1.2699007304738716,4.063682337516389,18.540550664918523,18.28657051882375,0.3386401947930324,86.94587001311108,0.3386401947930324,11.767746769057876,33.864019479303245,68.15133920209777
327_Nonmetallic_mineral_products,2.4357954545454543,30.44744318181818,442.5028409090909,162.38636363636363,278.4926136363636,29.229545454545452,18368.333522727273,300.0088068181818,4579.295454545454,1052.2636363636364,433.9775568181818,1013.696875,129.0971590909091,626.4053977272727,2459.341477272727,139.65227272727273,136.40454545454546,331.2681818181818,2095.5960227272726,51.96363636363636,0,178.625,0.8119318181818181,447.7803977272727,841.1613636363636,598.7997159090909,90.53039772727273,77.13352272727272,26.38778409090909,42.62642045454545,250.8869318181818,0,5.277556818181818,0,12.584943181818181,0,0.8119318181818181,20.704261363636363,59.67698863636363,2.4357954545454543,0.8119318181818181,843.597159090909,316.24744318181814,21.51619318181818,12.99090909090909,3.2477272727272726,0,11.773011363636362,30.85340909090909,200.54715909090908,2.0298295454545454,38.97272727272727,1196.7875,24.763920454545453,389.7272727272727,40.190625,46.28011363636364,645.0798295454545,580.9372159090909,65.76647727272727,96.61988636363635,3.2477272727272726,50.339772727272724,31.665340909090908,633.712784090909
331_Primary_metals,87.47076599146082,0,5404.250521513657,581.6355058195076,458.09432086249586,2.705281422416314,3543.016902891233,331.84785448306786,583.4390267677851,72756.74033493848,66209.95929269101,33033.28968865147,4369.931257676486,14843.879164798316,38625.10638878599,9471.190259879515,3075.904977287349,6555.798646988867,5342.029048798082,250.68941181057843,0,427.4344647417776,23.445772327608054,36.972179439689626,48.69506560349365,1376.9882440099038,1160.5657302165987,3.6070418965550854,0,0,849.4583666387226,0,1035.2210243113095,0,0,0,0,339.9636987503168,0,21.642251379330514,9.919365215526485,188.4679390950032,249.78765133643967,0,0,1.8035209482775427,0,0.9017604741387714,1392.318172070263,101.89893357768116,0,9.919365215526485,1129.9058740958806,26.15105375002437,358.900668707231,393.1675667245043,132.55878969839938,122.63942448287291,44.186263232799796,15.329928060359114,222.73483711227652,15.329928060359114,232.654202327803,16.231688534497884,73.94435887937925
