commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFGD_Federal_general_government_defense,GFGN_Federal_general_government_nondefense,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,T001_Total_Intermediate,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Federal_nondefense_Gross_investment_in_equipment,F07N_Federal_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,T004_Total_Final_Uses_GDP
111CA_Farms,1603,141,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,22,16669,11,0,0,0,0,330,0,25,33,30,6,24,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,61,0,28,0,0,0,0,0,111,5,806,5,2,31,0,241,0,20350,16874,0,0,0,0,415,0,-37639,0,0,0,0,0,0,0,0,0,0,0,0,-20350
113FF_Forestry_fishing_and_related_activities,98,78,0,1,0,0,0,91,1,0,0,0,0,0,0,0,28,148,6566,0,28,33,29,6,312,1398,0,0,579,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,63,0,0,0,0,0,143,337,2782,140,0,0,11,506,0,13411,2524,0,0,0,0,141,0,-16075,0,0,0,0,0,0,0,0,0,0,0,0,-13411
211_Oil_and_gas_extraction,0,0,4140,2,0,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131226,1743,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,4,1,0,0,1,1,4,2,0,0,143,0,2235,142530,0,0,0,0,0,1019,0,-143549,0,0,0,0,0,0,0,0,0,0,0,0,-142530
212_Mining_except_oil_and_gas,98,0,1,167,3,301,395,0,487,1197,52,22,2,30,31,18,0,110,231,1,0,48,0,37,1359,3,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,71,1,4,1,3,0,2,0,1,3,6,1,7,7,0,24,0,646,147,5530,106,190,0,0,0,9,0,-5836,0,0,0,0,0,0,0,0,0,0,0,0,-5530
213_Support_activities_for_mining,0,0,174,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,56,0,0,1043,0,0,-1327,0,0,0,0,0,0,0,0,0,0,0,0,-229
22_Utilities,13,1,11,20,1,95,30,8,12,31,18,9,5,3,12,5,2,4,30,5,0,19,6,14,51,22,96,22,53,33,97,1,0,1,8,0,4,8,106,7,2,24,4,13,7,2,0,0,453,4,3,2,21,58,13,2,17,15,40,12,5,4,13,36,120,20,3,1,2,22,6,1783,891,0,0,0,0,0,0,-2674,0,0,0,0,0,0,0,0,0,0,0,0,-1783
23_Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,11,0,0,5,26,0,5347,4212,9,2,54,252,3,0,571,29,1784,289,43,29,0,793,2,0,24,345,162,4,23,7,56,0,144,0,1,0,1,5,38,5,5,90,175,20,2,0,0,5,368,35,4,5,75,0,49,6,6,40,31,1,45,1,21,133,162,72,2,1,0,643,16,16290,1634,0,0,2,0,162,0,-18087,0,0,0,0,0,0,0,0,0,0,0,0,-16290
327_Nonmetallic_mineral_products,0,0,81,11,86,3,5013,156,2171,392,454,678,70,360,1566,161,122,206,1233,68,0,17,1,156,423,513,16,113,38,5,177,0,1,0,17,0,0,11,88,1,0,925,116,27,49,2,0,2,0,67,0,1,536,39,130,37,29,357,867,72,32,1,28,15,503,108,9,126,0,463,98,19047,5377,0,0,0,0,199,0,-24623,0,0,0,0,0,0,0,0,0,0,0,0,-19047
331_Primary_metals,73,0,714,138,164,0,1351,113,215,25752,14959,5708,1320,4091,8399,2039,774,2214,1053,21,0,94,8,12,16,344,461,1,0,0,470,0,201,0,0,0,0,57,0,9,4,39,90,0,0,0,0,0,939,21,0,0,384,11,110,109,54,33,2,6,72,6,69,6,13,119,24,47,0,20,92,73040,167,0,0,0,0,269,0,-73476,0,0,0,0,0,0,0,0,0,0,0,0,-73040
332_Fabricated_metal_products,674,45,1595,152,159,166,9860,591,187,316,4330,4681,335,639,6849,1961,490,633,1373,48,3,664,50,47,1946,936,323,38,38,15,651,1,120,59,157,47,9,183,99,135,2,3374,193,28,25,1,18,7,1125,159,15,153,734,150,530,337,95,49,71,6,520,10,134,267,556,878,1234,82,15,1015,439,52826,6847,4367,0,0,0,758,0,-65031,0,163,0,0,0,41,0,0,0,29,0,0,-52826
333_Machinery,2471,72,2264,1990,2237,621,7891,245,90,408,1341,14615,106,851,11774,1821,42,397,1963,19,-1,575,667,65,1850,921,1056,34,23,18,392,0,14,9,112,86,22,2614,263,49,1,890,45,0,3,86,0,3,2,101,1,463,1100,226,1510,1504,527,301,87,13,18,6,19,21,198,2630,157,51,-10,2154,733,72826,3934,71421,0,0,0,1350,0,-151733,0,131,0,0,0,110,0,0,0,1959,0,0,-72826
334_Computer_and_electronic_products,3,0,13,22,210,82,1903,390,374,698,2316,4077,13846,1774,14532,7631,440,1037,1333,259,25,-190,624,89,2144,1004,5283,396,253,217,1591,1,25,2,157,3,5,125,185,1759,47,12080,2646,313,1131,13,663,164,458,246,971,2702,4880,4579,2189,351,397,2075,218,97,245,15,82,157,65,2572,6124,632,0,1304,705,112759,74167,112177,0,249,0,2111,0,-316210,0,5560,0,0,0,5208,0,0,0,3979,0,0,-112759
335_Electrical_equipment_appliances_and_components,1165,152,44,56,380,32,14685,525,87,784,1240,8515,956,4305,2553,1815,76,723,696,45,3,323,94,66,573,743,112,132,27,231,185,0,24,0,8,36,1,22,62,1,0,2996,83,29,47,4,0,3,1168,35,1,558,2420,21,935,416,386,9,214,596,51,43,159,340,248,1549,451,695,56,897,1146,57036,21494,9939,0,2280,0,853,0,-92211,0,66,0,0,0,186,0,0,0,358,0,0,-57036
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,454,43,120,295,186,43,826,355,255,366,401,5898,191,193,68721,1730,167,307,1225,45,0,521,97,53,664,292,2338,1862,390,88,1322,0,20,0,1231,65,0,42,1255,161,22,607,55,17,9,0,0,0,0,443,0,8,1005,329,1952,295,148,126,264,46,469,10,25,43,229,4361,2026,16,615,2022,236,107596,75489,103993,0,0,0,3624,0,-318049,0,10896,0,0,0,2535,0,0,0,13915,0,0,-107596
