code_name,code,name,code_match47,code_name_match47,name_match47
111CA_Farms,111CA,Farms,111CA,111CA_Farms,Farms
113FF_Forestry_fishing_and_related_activities,113FF,Forestry_fishing_and_related_activities,113FF,113FF_Forestry_fishing_and_related_activities,Forestry_fishing_and_related_activities
211_Oil_and_gas_extraction,211,Oil_and_gas_extraction,211,211_Oil_and_gas_extraction,Oil_and_gas_extraction
212_Mining_except_oil_and_gas,212,Mining_except_oil_and_gas,212,212_Mining_except_oil_and_gas,Mining_except_oil_and_gas
213_Support_activities_for_mining,213,Support_activities_for_mining,213,213_Support_activities_for_mining,Support_activities_for_mining
22_Utilities,22,Utilities,22,22_Utilities,Utilities
23_Construction,23,Construction,23,23_Construction,Construction
321_Wood_products,321,Wood_products,321,321_Wood_products,Wood_products
327_Nonmetallic_mineral_products,327,Nonmetallic_mineral_products,327,327_Nonmetallic_mineral_products,Nonmetallic_mineral_products
331_Primary_metals,331,Primary_metals,331,331_Primary_metals,Primary_metals
332_Fabricated_metal_products,332,Fabricated_metal_products,332,332_Fabricated_metal_products,Fabricated_metal_products
333_Machinery,333,Machinery,333,333_Machinery,Machinery
334_Computer_and_electronic_products,334,Computer_and_electronic_products,334,334_Computer_and_electronic_products,Computer_and_electronic_products
335_Electrical_equipment_appliances_and_components,335,Electrical_equipment_appliances_and_components,335,335_Electrical_equipment_appliances_and_components,Electrical_equipment_appliances_and_components
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3361MV,Motor_vehicles_bodies_and_trailers_and_parts,3361MV,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,Motor_vehicles_bodies_and_trailers_and_parts
3364OT_Other_transportation_equipment,3364OT,Other_transportation_equipment,3364OT,3364OT_Other_transportation_equipment,Other_transportation_equipment
337_Furniture_and_related_products,337,Furniture_and_related_products,337,337_Furniture_and_related_products,Furniture_and_related_products
339_Miscellaneous_manufacturing,339,Miscellaneous_manufacturing,339,339_Miscellaneous_manufacturing,Miscellaneous_manufacturing
311FT_Food_and_beverage_and_tobacco_products,311FT,Food_and_beverage_and_tobacco_products,311FT,311FT_Food_and_beverage_and_tobacco_products,Food_and_beverage_and_tobacco_products
313TT_Textile_mills_and_textile_product_mills,313TT,Textile_mills_and_textile_product_mills,313TT,313TT_Textile_mills_and_textile_product_mills,Textile_mills_and_textile_product_mills
315AL_Apparel_and_leather_and_allied_products,315AL,Apparel_and_leather_and_allied_products,315AL,315AL_Apparel_and_leather_and_allied_products,Apparel_and_leather_and_allied_products
322_Paper_products,322,Paper_products,322,322_Paper_products,Paper_products
323_Printing_and_related_support_activities,323,Printing_and_related_support_activities,323,323_Printing_and_related_support_activities,Printing_and_related_support_activities
324_Petroleum_and_coal_products,324,Petroleum_and_coal_products,324,324_Petroleum_and_coal_products,Petroleum_and_coal_products
325_Chemical_products,325,Chemical_products,325,325_Chemical_products,Chemical_products
326_Plastics_and_rubber_products,326,Plastics_and_rubber_products,326,326_Plastics_and_rubber_products,Plastics_and_rubber_products
42_Wholesale_trade,42,Wholesale_trade,42,42_Wholesale_trade,Wholesale_trade
441_Motor_vehicle_and_parts_dealers,441,Motor_vehicle_and_parts_dealers,44RT,44RT_Retail_trade,Retail_trade
445_Food_and_beverage_stores,445,Food_and_beverage_stores,44RT,44RT_Retail_trade,Retail_trade
452_General_merchandise_stores,452,General_merchandise_stores,44RT,44RT_Retail_trade,Retail_trade
4A0_Other_retail,4A0,Other_retail,44RT,44RT_Retail_trade,Retail_trade
481_Air_transportation,481,Air_transportation,48,48_Transportation,Transportation
482_Rail_transportation,482,Rail_transportation,48,48_Transportation,Transportation
483_Water_transportation,483,Water_transportation,48,48_Transportation,Transportation
484_Truck_transportation,484,Truck_transportation,48,48_Transportation,Transportation
485_Transit_and_ground_passenger_transportation,485,Transit_and_ground_passenger_transportation,48,48_Transportation,Transportation
486_Pipeline_transportation,486,Pipeline_transportation,48,48_Transportation,Transportation
487OS_Other_transportation_and_support_activities,487OS,Other_transportation_and_support_activities,48,48_Transportation,Transportation
493_Warehousing_and_storage,493,Warehousing_and_storage,493,493_Warehousing_and_storage,Warehousing_and_storage
511_Publishing_industries_except_internet_includes_software,511,Publishing_industries_except_internet_includes_software,51,51_Information,Information
512_Motion_picture_and_sound_recording_industries,512,Motion_picture_and_sound_recording_industries,51,51_Information,Information
513_Broadcasting_and_telecommunications,513,Broadcasting_and_telecommunications,51,51_Information,Information
514_Data_processing_internet_publishing_and_other_information_services,514,Data_processing_internet_publishing_and_other_information_services,51,51_Information,Information
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,521CI,Federal_Reserve_banks_credit_intermediation_and_related_activities,52,52_Finance_and_insurance,Finance_and_insurance
523_Securities_commodity_contracts_and_investments,523,Securities_commodity_contracts_and_investments,52,52_Finance_and_insurance,Finance_and_insurance
524_Insurance_carriers_and_related_activities,524,Insurance_carriers_and_related_activities,52,52_Finance_and_insurance,Finance_and_insurance
525_Funds_trusts_and_other_financial_vehicles,525,Funds_trusts_and_other_financial_vehicles,52,52_Finance_and_insurance,Finance_and_insurance
HS_Housing,HS,Housing,531,531_Real_estate,Real_estate
ORE_Other_real_estate,ORE,Other_real_estate,531,531_Real_estate,Real_estate
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,532RL,Rental_and_leasing_services_and_lessors_of_intangible_assets,532RL,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,Rental_and_leasing_services_and_lessors_of_intangible_assets
5411_Legal_services,5411,Legal_services,54,54_Professional_scientific_and_technical_services,Professional_scientific_and_technical_services
5415_Computer_systems_design_and_related_services,5415,Computer_systems_design_and_related_services,54,54_Professional_scientific_and_technical_services,Professional_scientific_and_technical_services
5412OP_Miscellaneous_professional_scientific_and_technical_services,5412OP,Miscellaneous_professional_scientific_and_technical_services,54,54_Professional_scientific_and_technical_services,Professional_scientific_and_technical_services
55_Management_of_companies_and_enterprises,55,Management_of_companies_and_enterprises,55,55_Management_of_companies_and_enterprises,Management_of_companies_and_enterprises
561_Administrative_and_support_services,561,Administrative_and_support_services,56,56_Administrative_and_waste_management_services,Administrative_and_waste_management_services
562_Waste_management_and_remediation_services,562,Waste_management_and_remediation_services,56,56_Administrative_and_waste_management_services,Administrative_and_waste_management_services
61_Educational_services,61,Educational_services,61,61_Educational_services,Educational_services
621_Ambulatory_health_care_services,621,Ambulatory_health_care_services,62,62_Health_care_and_social_assistance,Health_care_and_social_assistance
622_Hospitals,622,Hospitals,62,62_Health_care_and_social_assistance,Health_care_and_social_assistance
623_Nursing_and_residential_care_facilities,623,Nursing_and_residential_care_facilities,62,62_Health_care_and_social_assistance,Health_care_and_social_assistance
624_Social_assistance,624,Social_assistance,62,62_Health_care_and_social_assistance,Health_care_and_social_assistance
711AS_Performing_arts_spectator_sports_museums_and_related_activities,711AS,Performing_arts_spectator_sports_museums_and_related_activities,71,71_Arts_entertainment_and_recreation,Arts_entertainment_and_recreation
713_Amusements_gambling_and_recreation_industries,713,Amusements_gambling_and_recreation_industries,71,71_Arts_entertainment_and_recreation,Arts_entertainment_and_recreation
721_Accommodation,721,Accommodation,721,721_Accommodation,Accommodation
722_Food_services_and_drinking_places,722,Food_services_and_drinking_places,722,722_Food_services_and_drinking_places,Food_services_and_drinking_places
81_Other_services_except_government,81,Other_services_except_government,81,81_Other_services_except_government,Other_services_except_government
GFGD_Federal_general_government_defense,GFGD,Federal_general_government_defense,GFG,GFG_Federal_general_government,Federal_general_government
GFGN_Federal_general_government_nondefense,GFGN,Federal_general_government_nondefense,GFG,GFG_Federal_general_government,Federal_general_government
