industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
111CA_Farms,33567,810,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,0,3276,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,8469,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,6814,13,0,432,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,180,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,0,0,3090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,8,0,0,18050,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_Construction,0,0,0,0,0,0,58201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,8,7402,0,0,21,0,0,0,0,0,31,5,0,0,0,0,0,0,0,5,85,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327_Nonmetallic_mineral_products,0,0,0,0,0,0,23,0,9704,7,17,44,8,10,0,0,0,3,0,5,0,46,0,16,19,28,163,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331_Primary_metals,0,0,0,0,0,0,104,0,1,28133,519,110,0,118,0,0,2,0,0,0,0,8,0,0,119,8,64,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,140,0
332_Fabricated_metal_products,0,0,0,0,0,0,75,17,21,418,21889,406,64,98,166,156,48,42,0,5,0,0,10,0,29,35,339,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,150,0
333_Machinery,0,0,0,0,0,0,42,0,15,50,362,18892,96,143,169,129,12,15,0,0,0,3,0,0,24,11,340,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,70,0
334_Computer_and_electronic_products,0,0,0,0,0,0,22,0,4,0,94,130,15092,213,101,150,18,33,0,0,0,0,0,0,34,0,469,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,135,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,14,0,12,73,141,263,282,9877,190,0,9,24,0,0,1,0,0,8,10,12,170,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,20,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,44,0,0,0,353,445,98,146,37555,159,29,0,0,1,0,0,0,0,0,15,219,0,0,0,0,0,0,0,1049,0,0,0,0,0,0,0,0,0,0,0,0,198,0
3364OT_Other_transportation_equipment,0,0,0,0,0,0,39,0,0,0,200,280,326,60,63,15734,0,21,0,1,0,0,0,0,0,0,184,0,0,0,0,0,0,0,1585,0,0,0,0,0,0,0,0,0,0,0,0,38,0
337_Furniture_and_related_products,0,0,0,0,0,0,4,24,9,0,37,4,13,0,14,0,5520,7,0,15,0,0,0,0,0,2,54,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,0,13,12,0,36,43,25,0,0,0,30,7605,0,15,0,7,9,4,41,42,212,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,25,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69853,0,0,0,0,0,137,1,1176,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,29,0,0,0,0,0,0,0,3,0,11,6,0,15450,11,33,1,1,30,39,65,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,90,0
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,37,20108,0,0,0,0,23,110,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,0
322_Paper_products,0,0,0,0,0,0,18,7,0,0,33,0,19,0,0,0,2,14,0,30,0,14049,103,0,39,24,75,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,40,0
323_Printing_and_related_support_activities,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,27,0,0,5,98,6473,0,0,5,131,0,0,0,0,0,0,0,3393,0,0,0,0,0,0,0,0,0,0,0,0,41,0
324_Petroleum_and_coal_products,0,0,0,0,0,0,99,0,27,61,0,0,0,8,0,0,0,0,0,0,0,1,0,16186,884,0,117,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,0,0,0,90,0,16,0,0,10,21,0,3,0,0,38,98,0,0,19,0,94,23129,151,646,0,0,0,0,0,0,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,5,3,31,0,32,33,3,1,0,0,12,74,0,37,0,29,1,0,123,7259,146,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,8,0
42_Wholesale_trade,0,32,0,0,0,0,6,0,0,0,12,0,0,0,498,0,0,19,2527,0,0,0,0,0,0,0,36017,0,44,0,0,0,0,655,17,0,10,0,0,0,0,0,1322,0,0,0,0,0,0
44RT_Retail_trade,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,41,2662,0,46,0,5,0,0,0,0,59627,107,0,0,170,0,0,9,0,117,0,0,13,0,1324,6161,0,0,0,0,0,0
