industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
111CA_Farms,36068,906,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,0,3788,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,8993,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,6710,13,0,447,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,189,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,0,0,2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,19,0,0,19562,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_Construction,0,0,0,0,0,0,62791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,8,7251,0,0,22,0,0,0,0,0,24,3,0,0,0,0,0,0,0,3,89,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327_Nonmetallic_mineral_products,0,0,0,0,0,0,23,0,10397,10,21,50,13,15,0,0,0,3,0,6,0,42,0,20,21,41,177,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331_Primary_metals,0,0,0,0,0,0,146,0,2,29243,913,151,0,173,0,0,4,0,0,0,0,15,0,0,155,4,92,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,193,0
332_Fabricated_metal_products,0,0,0,0,0,0,75,18,25,429,22581,438,95,84,190,135,40,35,0,5,0,0,8,0,37,43,342,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,126,0
333_Machinery,0,0,0,0,0,0,46,0,19,90,465,21054,123,176,247,109,14,24,0,0,0,1,0,0,18,11,425,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,74,0
334_Computer_and_electronic_products,0,0,0,0,0,0,24,0,4,0,139,190,18158,245,181,172,17,25,0,0,0,0,0,0,33,0,506,0,0,0,0,0,0,0,1268,0,0,0,0,0,0,0,0,0,0,0,0,110,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,19,0,18,101,131,406,361,11462,120,0,9,33,0,1,0,0,0,3,19,17,172,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,34,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,52,0,0,0,340,444,108,177,39838,105,35,0,0,1,0,0,0,0,0,30,187,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,190,0
3364OT_Other_transportation_equipment,0,0,0,0,0,0,41,0,0,0,226,254,290,75,72,17509,0,31,0,1,0,0,0,0,0,0,183,0,0,0,0,0,0,0,1948,0,0,0,0,0,0,0,0,0,0,0,0,39,0
337_Furniture_and_related_products,0,0,0,0,0,0,4,23,13,0,36,7,10,0,24,0,5857,8,0,9,0,0,0,0,0,3,62,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,0,15,6,0,32,44,36,0,0,0,21,8154,0,19,0,7,8,2,60,53,278,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,19,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74865,0,0,0,0,0,168,0,1329,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,32,0,0,0,0,0,0,0,2,0,8,7,0,16848,23,34,1,0,12,50,79,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,95,0
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,70,20756,0,0,0,0,33,176,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,12,0
322_Paper_products,0,0,0,0,0,0,18,13,0,0,43,0,15,0,0,0,2,17,0,28,0,14994,107,0,47,39,82,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,51,0
323_Printing_and_related_support_activities,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,37,0,1,2,120,6744,0,0,2,138,0,0,0,0,0,0,0,3143,0,0,0,0,0,0,0,0,0,0,0,0,26,0
324_Petroleum_and_coal_products,0,0,0,0,0,0,58,0,31,21,0,0,0,3,0,0,0,0,0,0,0,1,0,15975,969,0,121,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,0,0,0,99,0,17,0,0,16,28,0,5,0,0,57,101,0,0,37,0,80,26218,206,682,0,0,0,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,5,4,22,0,56,41,2,1,0,0,16,72,0,35,0,39,1,0,154,7818,158,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,10,0
42_Wholesale_trade,0,67,0,0,0,0,14,0,0,0,25,0,0,0,585,0,0,34,2886,0,0,0,0,0,0,0,38888,0,52,0,0,0,0,749,29,0,12,0,0,0,0,0,1614,0,0,0,0,0,0
44RT_Retail_trade,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,49,1578,0,99,0,6,0,0,0,0,66764,111,0,0,177,0,0,12,0,252,0,0,28,0,1538,6144,0,0,0,0,0,0
48_Transportation,0,0,0,0,0,83,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,69,39324,128,0,0,0,50,9,0,0,0,0,2,0,0,12,0,0,0,0,0,0
493_Warehousing_and_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51_Information,0,0,0,0,0,0,1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,16,0,0,23233,0,0,80,6925,0,0,0,0,0,0,0,56,0,0,0,0,0,0
52_Finance_and_insurance,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,39032,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531_Real_estate,0,0,0,0,0,0,3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54_Professional_scientific_and_technical_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,49,0,0,0,22110,0,24,0,0,0,0,0,4,0,0,0,0,0,0
55_Management_of_companies_and_enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,12054,0,0,0,0,0,0,0,0,0,0,0,0,0
56_Administrative_and_waste_management_services,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,149,0,7153,0,0,0,0,0,58,0,0,0,0,0,0
61_Educational_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,794,0,0,4240,0,25,137,230,4,0,0,0,0,0,0
62_Health_care_and_social_assistance,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,13,78,0,0,0,19591,0,0,33,0,0,0,0,0,0,0
