industry,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
111CA_Farms,59.742,56.26,52.921,53.376,56.217,53.677,58.59,65.751,62.811,63.06,74.727,83.298,72.038,77.701,95.312,100,101.814,100.706,89.731,79.736,81.895,81.869,81.577,79.363,97.619
113FF_Forestry_fishing_and_related_activities,81.912,80.619,79.997,80.105,73.772,72.967,74.644,78.538,81.464,84.262,89.34,91.316,87.68,95.19,98.657,100,103.348,106.314,105.638,105.918,107.677,109.897,110.13,109.96,115.787
211_Oil_and_gas_extraction,37.488,28.425,34.134,54.869,52.611,46.021,65.343,77.984,102.448,105.007,111.511,147.591,79.549,102.553,114.102,100,106.658,105.534,60.914,54.207,66.519,77.074,65.6,48.071,89.319
212_Mining_except_oil_and_gas,42.32,40.898,40.143,40.799,41.511,43.038,45.129,51.183,60.56,68.408,73.505,82.877,83.801,91.407,100.309,100,95.041,93.273,87.296,86.045,93.158,97.947,98.139,97.846,107.233
213_Support_activities_for_mining,77.608,81.498,74.175,70.551,68.601,68.933,70.656,73.462,80.02,85.264,88.484,93.491,88.791,91.53,95.87,100,101.781,103.45,103.591,101.645,103.779,101.68,103.058,100.007,101.011
22_Utilities,65.714,63.96,62.886,67.753,74.353,70.973,78.867,83.09,92.627,97.39,99.14,106.888,100.042,102.255,104.223,100,103.962,110.598,104.977,101.757,106.161,110.393,111.614,108.879,129.235
23_Construction,57.352,59.158,61.377,64.009,66.578,68.342,70.85,75.845,82.154,88.389,92.391,95.137,94.427,94.496,97.433,100,102.739,106.407,108.286,110.267,113.937,118.765,122.925,125.863,136.376
321_Wood_products,89.617,87.943,91.112,88.725,87.431,86.953,89.699,99.848,100.636,99.308,96.513,96.626,91.584,96.916,96.897,100,107.366,114.219,110.853,111.335,114.962,121.814,118.517,122.505,155.825
327_Nonmetallic_mineral_products,71.056,72.017,73.886,74.945,75.361,76.079,76.487,79.079,84.631,91.386,93.263,95.199,96.996,96.441,97.631,100,102.841,106.098,109.198,112.161,115.021,118.929,121.303,123.586,131.246
331_Primary_metals,60.611,57.869,54.883,57.306,55.031,54.839,56.263,67.742,75.263,87.864,93.578,101.384,81.814,93.71,104.201,100,94.481,95.357,86.582,81.828,90.39,99.07,96.092,89.332,122.245
332_Fabricated_metal_products,69.147,69.838,70.138,70.834,71.219,71.442,71.885,76.868,81.252,84.622,87.932,94.679,94.699,95.235,98.616,100,100.537,101.371,101.425,100.799,102.533,107.113,109.575,109.7,122.476
333_Machinery,75.279,75.902,76.703,77.279,77.949,78.269,78.765,80.548,83.778,86.424,89.143,92.925,95.218,95.442,97.813,100,101.581,103.293,104.553,105.157,106.287,108.532,111.627,113.391,118.936
334_Computer_and_electronic_products,289.237,247.653,217.409,195.129,173.239,164.909,152.198,143.31,137.379,129.585,121.319,112.856,107.675,103.8,101.765,100,98.728,97.056,95.666,93.355,93.088,92.551,92.352,92.69,93.355
335_Electrical_equipment_appliances_and_components,73.403,73.074,72.66,73.446,73.34,72.733,72.46,75.051,78.477,84.435,88.344,92.464,93.269,95.265,98.108,100,99.859,99.93,99.332,98.216,99.759,103.972,106.552,107.286,115.079
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,92.914,92.054,92.311,92.724,92.283,91.038,90.873,91.839,92.116,91.876,92.932,94.835,95.808,96.561,98.023,100,100.737,102.006,103.483,103.302,104.409,105.918,106.545,106.623,110.378
3364OT_Other_transportation_equipment,72.967,73.497,74.289,76.337,78.239,78.939,80.968,83.744,86.55,89.406,91.256,93.797,95.218,96.227,98.305,100,101.449,102.886,103.924,104.414,105.445,107.119,108.913,110.272,112.043
337_Furniture_and_related_products,75.38,76.273,77.288,78.431,79.469,80.242,80.983,82.522,85.458,88.085,89.982,93.142,95.61,95.669,97.471,100,101.395,103.284,104.558,105.163,106.934,109.553,112.416,114.392,121.906
339_Miscellaneous_manufacturing,80.2,80.745,81.478,82.135,82.948,83.548,84.522,85.891,87.72,89.823,91.698,94.271,95.2,96.376,98.709,100,101.053,101.568,102.526,102.888,103.949,105.424,107.782,109.6,112.056
311FT_Food_and_beverage_and_tobacco_products,61.577,61.138,62.541,63.848,66.479,66.422,69.161,72.598,73.497,73.675,79.099,86.485,85.109,88.638,96.369,100,100.964,104.73,100.835,98.35,99.95,100.208,101.668,103.134,112.476
313TT_Textile_mills_and_textile_product_mills,80.1,79.925,78.03,78.259,78.367,77.54,77.691,79.058,81.843,84.565,85.765,88.685,89.644,91.866,99.747,100,100.754,102.369,101.736,101.326,102.023,105,106.766,106.727,115.072
315AL_Apparel_and_leather_and_allied_products,86.613,87.269,87.424,87.882,88.045,87.642,88.25,88.743,89.325,90.205,91.507,93.115,94.67,95.279,97.44,100,102.668,104.575,106.006,105.972,107.23,108.763,110.351,110.37,112.428
322_Paper_products,67.707,69.364,69.597,75.377,75.142,73.479,73.893,75.878,79.573,84.275,86.74,92.568,92.76,96.419,99.761,100,102.782,104.16,103.987,102.71,106.666,111.188,111.046,108.384,118.214
323_Printing_and_related_support_activities,85.399,86.759,88.147,89.754,89.227,86.666,87.246,88.201,91.537,95.284,96.626,98.241,98.047,98.265,99.831,100,100.521,101.028,101.428,101.603,102.173,103.22,106.089,107.009,111.499
324_Petroleum_and_coal_products,23.837,18.766,21.47,31.312,29.06,27.6,33.466,40.653,54.679,64.125,70.487,88.957,58.597,75.532,98.802,100,96.337,91.363,59.871,48.687,59.068,72.058,64.336,48.368,77.967
325_Chemical_products,55.406,55.532,55.773,59.003,59.352,59.254,61.987,65.799,72.215,76.53,78.964,88.283,84.106,90.11,100.057,100,100.794,102.173,97.298,95.431,100.735,105.783,103.28,101.794,116.897
326_Plastics_and_rubber_products,67.899,67.43,67.616,69.217,69.873,69.739,71.188,73.129,78.425,83.56,83.837,89.763,89.152,91.659,97.49,100,102.132,103.109,101.951,100.732,102.698,105.952,106.751,106.328,118.61
42_Wholesale_trade,78.102,76.533,76.899,78.429,76.874,76.287,76.385,79.22,81.897,85.262,87.248,89.85,94.167,95.147,97.673,100,101.833,102.919,103.64,104.267,106.506,109.791,114.093,113.849,121.998
44RT_Retail_trade,81.089,80.526,81.146,82.765,83.045,82.607,83.021,84.716,86.932,89.507,92.087,93.999,94.826,95.652,97.607,100,101.363,102.529,103.429,103.433,104.04,105.435,107.49,112.046,122.76
48_Transportation,62.186,62.622,64.506,69.075,71.734,72.832,74.826,77.093,80.908,84.336,86.717,92.732,89.081,92.501,97.324,100,101.553,103.305,102.088,101.716,104.129,108.658,111.442,109.31,119.917
493_Warehousing_and_storage,85.272,86.299,88.272,89.841,91.727,92.854,94.049,94.781,95.226,96.12,101.016,105.037,105.622,104.025,102.17,100,98.742,98.898,100.277,100.929,103.679,107.603,107.526,107.431,114.298
51_Information,101.534,101.598,101.648,101.832,102.257,101.865,102.029,101.798,100.719,100.588,100.382,100.47,99.613,99.201,99.3,100,100.349,100.328,99.132,98.653,97.636,97.65,97.962,98.313,98.792
52_Finance_and_insurance,80.471,80.657,79.356,80.12,81.65,83.204,87.077,89.709,92.217,95.192,97.918,97.263,90.752,95.111,97.201,100,103.423,108.279,110.841,114.577,118.682,125.55,127.844,129.213,133.148
531_Real_estate,72.554,74.441,76.531,78.926,81.51,84.203,85.988,88.115,90.478,93.305,95.132,96.982,97.499,97.304,98.352,100,102.052,104.695,107.652,110.57,113.88,117.093,120.612,123.55,126.963
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,74.94,72.714,74.572,78.332,78.407,79.548,81.457,84.191,86.776,89.505,91.745,94.642,95.983,96.884,98.57,100,101.301,102.368,101.615,101.092,102.541,105.081,106.247,106.313,112.642
54_Professional_scientific_and_technical_services,72.133,73.878,76.133,78.743,80.078,81.163,82.862,85.509,88.335,91.398,94.067,96.121,96.452,97.281,98.763,100,101.417,102.311,103.947,104.611,106.121,107.664,109.066,110.191,111.764
55_Management_of_companies_and_enterprises,59.172,62.488,65.422,69.897,68.97,69.886,71.498,79.268,82.704,87.602,94.031,95.779,97.141,98.198,99.149,100,100.929,99.912,101.135,101.112,101.186,101.134,100.429,99.577,99.733
56_Administrative_and_waste_management_services,73.944,75.693,77.863,81.068,82.947,84.354,84.87,87.371,89.203,92.045,94.067,96.455,97.507,97.706,98.827,100,101.492,103.215,105.042,107.346,109.086,110.97,113.231,115.021,118.681
61_Educational_services,61.346,63.27,65.462,68.17,70.418,72.13,74.984,77.871,81.388,84.611,87.578,90.849,92.757,94.745,97.354,100,102.604,105.189,106.879,108.851,111.581,114.063,116.533,119.167,123.261
62_Health_care_and_social_assistance,67.536,69.36,71.106,73.332,76.054,77.961,80.111,82.522,85.139,87.502,90.519,92.868,94.835,96.732,98.434,100,101.393,102.854,103.99,105.603,107.469,109.413,111.506,114.023,117.94
71_Arts_entertainment_and_recreation,66.135,67.843,70.669,73.499,75.804,77.422,79.696,82.152,85.284,88.39,91.392,94.324,95.281,96.096,97.575,100,101.567,103.605,106.738,109.419,111.436,113.931,116.498,121.57,123.09
721_Accommodation,67.848,70.175,72.741,74.829,77.81,78.195,79.245,81.138,85.496,88.696,92.864,96.173,95.071,95.171,97.18,100,102.133,105.037,107.129,109.51,111.888,116.147,118.936,113.368,118.443
722_Food_services_and_drinking_places,64.909,66.4,68.047,69.829,72.19,74.049,75.664,78.053,80.684,83.367,86.496,90.625,93.95,95.342,97.027,100,102.261,104.685,107.918,110.681,113.374,116.401,119.48,124.438,130.446
81_Other_services_except_government,64.489,66.025,67.904,70.36,72.947,75.144,76.883,79.331,82.167,85.326,88.22,91.316,93.515,95.433,97.764,100,102.503,104.823,107.024,109.167,111.677,114.759,118.004,121.757,127.433
GFG_Federal_general_government,63.885,64.872,66.697,69.28,70.964,74.018,77.983,81.083,84.93,88.036,90.982,93.948,93.738,96.235,99.064,100,101.025,102.836,103.437,104.19,106.287,109.707,111.86,113.137,117.198
GFE_Federal_government_enterprises,67.149,67.131,68.627,68.991,72.503,74.981,76.912,77.22,77.527,82.01,85.227,88.413,92.703,96.62,98.814,100,101.235,105.433,106.865,104.907,105.783,107.364,108.75,109.963,115.37
GSLG_State_and_local_general_government,59.558,60.758,63.123,66.119,68.463,70.17,72.869,76.269,80.033,83.704,87.703,92.049,91.713,94.794,97.834,100,103.374,105.716,105.785,106.064,108.744,112.89,114.584,117.478,124.223
GSLE_State_and_local_government_enterprises,62.956,63.589,64.602,67.195,69.978,70.517,73.194,76.607,82.152,86.047,89.178,94.283,93.349,96.49,99.83,100,103.396,107.637,106.617,106.416,109.659,114.461,117.455,116.744,129.477
