commodity,total_output
111CA_Farms,39544
113FF_Forestry_fishing_and_related_activities,6266
211_Oil_and_gas_extraction,9715
212_Mining_except_oil_and_gas,8016
213_Support_activities_for_mining,2665
22_Utilities,27015
23_Construction,90966
311FT_Food_and_beverage_and_tobacco_products,85727
313TT_Textile_mills_and_textile_product_mills,20287
315AL_Apparel_and_leather_and_allied_products,23901
321_Wood_products,8840
322_Paper_products,18238
323_Printing_and_related_support_activities,5978
324_Petroleum_and_coal_products,18069
325_Chemical_products,36409
326_Plastics_and_rubber_products,10655
327_Nonmetallic_mineral_products,13037
331_Primary_metals,39848
332_Fabricated_metal_products,32689
333_Machinery,32281
334_Computer_and_electronic_products,25394
335_Electrical_equipment_appliances_and_components,16424
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,57681
3364OT_Other_transportation_equipment,20399
337_Furniture_and_related_products,7025
339_Miscellaneous_manufacturing,10464
42_Wholesale_trade,59447
44RT_Retail_trade,83563
481_Air_transportation,5629
482_Rail_transportation,11844
483_Water_transportation,3258
484_Truck_transportation,13554
485_Transit_and_ground_passenger_transportation,4842
486_Pipeline_transportation,1864
487OS_Other_transportation_and_support_activities,7955
493_Warehousing_and_storage,2290
511_Publishing_industries_except_internet_includes_software,5901
512_Motion_picture_and_sound_recording_industries,5035
513_Broadcasting_and_telecommunications,17156
514_Data_processing_internet_publishing_and_other_information_services,1627
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,21576
523_Securities_commodity_contracts_and_investments,3890
524_Insurance_carriers_and_related_activities,22760
525_Funds_trusts_and_other_financial_vehicles,2576
531_Real_estate,81118
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,8627
5411_Legal_services,8023
5412OP_Miscellaneous_professional_scientific_and_technical_services,45644
5415_Computer_systems_design_and_related_services,2518
55_Management_of_companies_and_enterprises,14722
561_Administrative_and_support_services,7697
562_Waste_management_and_remediation_services,3483
61_Educational_services,6857
621_Ambulatory_health_care_services,15110
622HO_Hospitals_and_nursing_and_residential_care_facilities,11989
624_Social_assistance,1449
711AS_Performing_arts_spectator_sports_museums_and_related_activities,3379
713_Amusements_gambling_and_recreation_industries,2975
721_Accommodation,5265
722_Food_services_and_drinking_places,29197
81_Other_services_except_government,40620
GFE_Federal_government_enterprises,5330
GFG_Federal_general_government,66497
GSLE_State_and_local_government_enterprises,1502
GSLG_State_and_local_general_government,49693
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,675
Used_Scrap_used_and_secondhand_goods,1307
