industry,T008_Total_Industry_Output
111CA_Farms,39210
113FF_Forestry_fishing_and_related_activities,4255
211_Oil_and_gas_extraction,9628
212_Mining_except_oil_and_gas,7523
213_Support_activities_for_mining,2451
22_Utilities,22363
23_Construction,66766
311FT_Food_and_beverage_and_tobacco_products,76136
313TT_Textile_mills_and_textile_product_mills,17841
315AL_Apparel_and_leather_and_allied_products,21858
321_Wood_products,7873
322_Paper_products,16445
323_Printing_and_related_support_activities,7548
324_Petroleum_and_coal_products,18003
325_Chemical_products,31334
326_Plastics_and_rubber_products,9090
327_Nonmetallic_mineral_products,11809
331_Primary_metals,33297
332_Fabricated_metal_products,25937
333_Machinery,25465
334_Computer_and_electronic_products,23682
335_Electrical_equipment_appliances_and_components,14351
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,46009
3364OT_Other_transportation_equipment,21462
337_Furniture_and_related_products,6050
339_Miscellaneous_manufacturing,9685
42_Wholesale_trade,47628
44RT_Retail_trade,81182
481_Air_transportation,4204
482_Rail_transportation,11383
483_Water_transportation,2745
484_Truck_transportation,11610
485_Transit_and_ground_passenger_transportation,3752
486_Pipeline_transportation,1420
487OS_Other_transportation_and_support_activities,6722
493_Warehousing_and_storage,1755
511_Publishing_industries_except_internet_includes_software,9921
512_Motion_picture_and_sound_recording_industries,4303
513_Broadcasting_and_telecommunications,19486
514_Data_processing_internet_publishing_and_other_information_services,1171
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,17583
523_Securities_commodity_contracts_and_investments,3124
524_Insurance_carriers_and_related_activities,18293
525_Funds_trusts_and_other_financial_vehicles,1817
531_Real_estate,71985
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,7148
5411_Legal_services,6978
5412OP_Miscellaneous_professional_scientific_and_technical_services,15091
5415_Computer_systems_design_and_related_services,1977
55_Management_of_companies_and_enterprises,13145
561_Administrative_and_support_services,5642
562_Waste_management_and_remediation_services,2430
61_Educational_services,6128
621_Ambulatory_health_care_services,11898
622HO_Hospitals_and_nursing_and_residential_care_facilities,9026
624_Social_assistance,1050
711AS_Performing_arts_spectator_sports_museums_and_related_activities,2985
713_Amusements_gambling_and_recreation_industries,3203
721_Accommodation,4586
722_Food_services_and_drinking_places,21309
81_Other_services_except_government,28159
GFE_Federal_government_enterprises,5841
GFG_Federal_general_government,64608
GSLE_State_and_local_government_enterprises,7253
GSLG_State_and_local_general_government,48401
