industry,Total_Industry_Output
111CA_Farms,404166
113FF_Forestry_fishing_and_related_activities,46902
211_Oil_and_gas_extraction,362652
212_Mining_except_oil_and_gas,124665
213_Support_activities_for_mining,126168
22_Utilities,461485
23_Construction,1074580
311FT_Food_and_beverage_and_tobacco_products,895927
313TT_Textile_mills_and_textile_product_mills,51710
315AL_Apparel_and_leather_and_allied_products,19224
321_Wood_products,80773
322_Paper_products,178973
323_Printing_and_related_support_activities,83095
324_Petroleum_and_coal_products,833489
325_Chemical_products,792822
326_Plastics_and_rubber_products,216467
327_Nonmetallic_mineral_products,99640
331_Primary_metals,269217
332_Fabricated_metal_products,343521
333_Machinery,404751
334_Computer_and_electronic_products,354241
335_Electrical_equipment_appliances_and_components,122845
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,513836
3364OT_Other_transportation_equipment,290669
337_Furniture_and_related_products,65787
339_Miscellaneous_manufacturing,155688
42_Wholesale_trade,1654978
441_Motor_vehicle_and_parts_dealers,221895
445_Food_and_beverage_stores,207675
452_General_merchandise_stores,210740
481_Air_transportation,195394
482_Rail_transportation,79137
483_Water_transportation,50616
484_Truck_transportation,297770
485_Transit_and_ground_passenger_transportation,50998
486_Pipeline_transportation,36441
487OS_Other_transportation_and_support_activities,187246
493_Warehousing_and_storage,108889
4A0_Other_retail,763197
511_Publishing_industries_except_internet_includes_software,296240
512_Motion_picture_and_sound_recording_industries,131697
513_Broadcasting_and_telecommunications,733115
514_Data_processing_internet_publishing_and_other_information_services,221490
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,761660
523_Securities_commodity_contracts_and_investments,478470
524_Insurance_carriers_and_related_activities,796345
525_Funds_trusts_and_other_financial_vehicles,117255
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,298651
5411_Legal_services,306975
5412OP_Miscellaneous_professional_scientific_and_technical_services,1123863
5415_Computer_systems_design_and_related_services,354201
55_Management_of_companies_and_enterprises,478778
561_Administrative_and_support_services,661652
562_Waste_management_and_remediation_services,83578
61_Educational_services,309586
621_Ambulatory_health_care_services,868802
622_Hospitals,709343
623_Nursing_and_residential_care_facilities,208930
624_Social_assistance,169440
711AS_Performing_arts_spectator_sports_museums_and_related_activities,144746
713_Amusements_gambling_and_recreation_industries,119779
721_Accommodation,214942
722_Food_services_and_drinking_places,613975
81_Other_services_except_government,576265
GFE_Federal_government_enterprises,97146
GFGD_Federal_general_government_defense,676302
GFGN_Federal_general_government_nondefense,370376
GSLE_State_and_local_government_enterprises,298336
GSLG_State_and_local_general_government,1947061
HS_Housing,1726669
ORE_Other_real_estate,888883
