commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,1808,143,1,0,0,4,114,12,0,0,0,0,1,0,0,0,0,31,17838,2273,132,9,0,0,55,5,38,280,13,0,4,0,11,0,0,0,0,38,147,3,0,133,0,0,11,54,1
113FF_Forestry_fishing_and_related_activities,1402,127,3,17,19,11,371,470,10,50,22,9,1,4,11,7,40,44,636,104,215,51,0,1,193,169,3,19,7,0,14,1,20,0,0,0,0,2,7,2,0,94,1,7,1,9,2
211_Oil_and_gas_extraction,0,0,220,0,0,1076,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4156,60,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
212_Mining_except_oil_and_gas,48,1,1,871,4,460,289,16,276,1170,155,15,2,10,28,6,3,138,49,27,15,98,1,192,155,6,7,55,420,0,11,2,48,0,2,0,1,5,20,2,3,2,14,33,3,149,18
213_Support_activities_for_mining,0,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,62,5,15,119,1,573,43,32,91,148,119,68,7,37,94,33,10,28,117,60,47,79,18,54,83,13,76,567,108,6,44,70,181,4,29,98,9,17,66,83,53,4,245,40,4,258,47
23_Construction,202,0,2,3,0,0,4,2,8,8,16,7,1,3,15,6,1,5,25,10,16,9,2,0,6,1,17,124,383,3,3,23,2222,0,0,12,0,9,35,15,3,11,14,118,2,1137,14
321_Wood_products,109,97,14,80,4,54,1790,865,18,47,101,49,6,35,74,48,173,163,79,15,62,254,2,8,34,2,4,33,60,0,69,8,98,0,4,4,1,3,10,9,6,1,25,25,3,12,9
327_Nonmetallic_mineral_products,23,4,25,24,68,61,1597,27,249,88,86,75,14,100,247,26,23,31,182,4,25,17,3,33,60,7,12,89,35,0,64,10,58,28,2,4,1,2,9,2,2,1,27,2,3,14,9
331_Primary_metals,23,17,25,93,446,84,1382,104,19,2848,2357,801,86,637,1606,373,47,469,28,7,27,40,15,275,159,5,1,10,163,0,81,16,71,0,15,0,4,2,7,2,4,0,47,27,2,2,5
332_Fabricated_metal_products,131,27,71,75,72,103,3107,96,30,400,1025,504,48,325,1237,267,59,177,501,8,61,51,10,53,129,16,11,83,160,1,134,24,221,8,29,10,9,5,19,3,8,2,121,22,4,30,19
333_Machinery,3,6,18,51,51,4,109,43,10,41,228,324,7,54,339,156,3,27,18,20,1,28,26,8,10,3,2,12,30,0,37,1,3,0,52,0,15,5,21,21,17,0,87,117,0,13,1
334_Computer_and_electronic_products,8,3,7,7,0,6,113,12,4,13,73,41,103,40,136,40,9,50,6,1,10,15,2,3,9,3,3,24,15,0,93,12,10,0,9,3,3,9,35,1,10,0,42,81,0,13,1
335_Electrical_equipment_appliances_and_components,5,1,10,8,2,13,191,9,8,6,79,180,9,191,151,52,0,29,5,1,3,12,1,2,9,2,3,23,28,0,9,3,14,2,4,1,1,1,2,9,3,0,59,34,0,10,2
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,68,6,17,36,1,13,184,35,14,29,178,189,15,136,4160,92,6,43,41,3,19,14,6,5,16,4,59,439,167,0,23,12,10,67,28,2,8,1,3,0,9,4,324,25,1,54,3
3364OT_Other_transportation_equipment,2,12,6,48,0,2,58,11,1,1,14,42,0,1,14,629,0,3,0,0,1,1,0,0,2,0,0,2,164,0,4,1,2,0,26,0,8,0,2,0,5,0,33,669,0,1,0
337_Furniture_and_related_products,0,0,2,1,0,4,150,7,1,2,4,3,27,6,23,21,17,33,1,0,3,1,1,1,2,0,0,0,2,0,7,30,54,0,0,1,0,0,2,0,0,0,4,0,0,0,0
339_Miscellaneous_manufacturing,9,6,5,3,1,7,95,56,8,18,48,49,20,33,57,55,8,582,33,32,240,25,10,4,147,2,21,152,41,0,27,70,46,0,37,1,11,17,67,68,86,3,276,50,5,142,2
311FT_Food_and_beverage_and_tobacco_products,3067,19,2,3,0,5,24,10,4,8,9,7,3,4,7,3,23,118,7812,152,1232,103,5,11,720,1,98,729,225,0,13,11,4,1,14,0,4,66,253,128,3,5898,13,90,3,291,1
313TT_Textile_mills_and_textile_product_mills,59,68,7,3,1,0,23,26,39,36,25,26,11,19,236,15,207,427,167,3775,2273,87,16,1,1517,195,95,702,24,0,20,13,0,0,3,0,1,1,4,2,16,1,71,44,0,9,0
315AL_Apparel_and_leather_and_allied_products,1,1,1,0,3,0,1,7,5,3,26,13,2,3,31,5,6,38,5,8,2305,4,3,1,176,2,2,14,4,0,5,4,0,3,2,0,1,1,5,1,15,0,48,13,0,24,0
322_Paper_products,3,8,14,20,0,8,160,43,149,35,145,86,22,76,97,39,18,159,499,64,195,2044,655,32,239,22,72,533,39,1,746,75,28,1,32,1,10,7,28,9,17,10,56,26,3,83,2
323_Printing_and_related_support_activities,1,1,2,1,0,1,1,6,4,5,10,5,1,3,4,3,1,2,14,3,10,8,102,2,9,1,6,43,15,0,120,46,5,1,17,8,5,8,29,4,1,1,5,10,1,33,2
324_Petroleum_and_coal_products,374,22,24,42,75,134,525,11,25,112,44,42,5,20,46,24,2,19,53,12,16,59,8,136,54,2,19,563,701,2,98,32,47,2,258,4,65,13,48,14,7,2,136,0,0,0,0
325_Chemical_products,571,13,55,109,32,26,535,83,90,159,207,122,16,114,297,50,45,161,196,627,997,202,63,65,1643,149,30,220,102,0,108,25,103,34,47,5,14,35,134,7,32,3,164,129,2,192,16
326_Plastics_and_rubber_products,56,4,4,4,4,2,43,22,5,9,63,75,6,49,383,26,11,65,22,6,81,16,5,2,18,11,5,35,76,0,10,10,11,30,6,4,2,1,4,2,4,0,45,11,0,9,2
42_Wholesale_trade,877,53,29,99,62,90,849,196,91,293,482,443,54,201,752,130,65,447,1137,426,556,290,91,104,442,38,116,1045,401,1,184,43,71,16,139,7,36,17,64,22,18,227,164,67,2,59,5
44RT_Retail_trade,216,17,15,31,14,43,639,115,26,82,145,91,17,61,412,60,28,79,310,56,171,51,7,13,113,13,14,176,171,0,50,15,46,7,50,1,15,7,26,11,10,0,65,2,1,7,4
48_Transportation,1262,92,87,217,155,137,1323,471,113,468,267,130,20,102,373,72,43,146,1394,238,261,239,83,371,259,26,124,969,4123,23,155,166,62,25,103,7,29,49,87,44,13,232,89,46,273,77,13
493_Warehousing_and_storage,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,30,338,4,5,88,11,6,52,0,6,1,3,1,1,1,3,24,0,27,2
51_Information,14,8,17,12,6,22,113,34,24,38,83,57,8,32,60,25,11,31,104,22,63,39,236,13,68,8,75,558,125,2,454,221,158,6,114,83,33,32,124,44,28,13,110,29,3,174,3
52_Finance_and_insurance,293,22,46,61,12,69,323,83,45,72,119,94,9,47,99,40,16,37,130,52,86,51,32,34,79,12,107,797,399,2,80,2840,1009,107,73,15,22,10,40,55,28,21,117,9,2,103,6
531_Real_estate,1353,13,0,116,10,66,78,34,19,46,66,62,9,36,53,27,11,44,66,30,90,39,98,25,69,9,203,1509,174,13,199,249,275,33,245,70,72,113,431,243,68,25,349,57,6,143,9
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,13,2,567,1,8,3,125,6,4,6,17,13,2,10,25,4,5,15,66,9,24,7,9,4,37,2,33,247,18,1,33,35,32,7,9,49,3,2,8,23,6,4,25,4,0,18,1
