commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,17845,1599,0,0,0,14,386,0,0,1,0,0,1,0,1,1,0,24,97477,3517,8,3,0,1,334,0,1527,111,0,3,2,0,0,2,1,0,0,0,6,0,1,0,0,0,78,0,0,0,20,2,1,1,75,1,298,9,0,30,102,1850,76,-238,12,718,4
113FF_Forestry_fishing_and_related_activities,11177,4107,2,24,3,95,165,9623,14,25,13,17,30,40,17,22,29,237,2775,233,318,3269,18,8,287,1101,129,208,5,27,2,3,2,17,1,0,11,4,62,3,25,5,9,0,0,10,3,1,32,0,64,5,248,48,261,128,42,31,298,1696,109,61,31,184,180
211_Oil_and_gas_extraction,0,0,3024,0,0,19095,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,63343,3065,108,1,0,0,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,85
212_Mining_except_oil_and_gas,342,1,1,5590,24,11047,4099,15,5012,9800,83,138,172,169,708,85,9,750,167,49,8,794,13,358,3579,58,23,20,1,38,4,0,1,24,1,0,2,0,80,0,4,0,1,0,595,3,0,0,1,3,3,10,17,2,19,6,0,2,12,9,18,49,1035,216,1158
213_Support_activities_for_mining,0,0,1336,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,1958,59,1370,2661,116,154,1251,1045,3232,8282,2593,1803,2345,968,2132,1061,483,793,3975,1682,614,3736,893,1832,9745,2619,4346,10887,209,66,280,669,59,175,175,101,498,124,455,103,1200,57,100,554,1823,468,200,23,1129,1512,681,950,707,980,4119,636,217,623,2438,4890,2714,1886,381,14200,6164
23_Construction,248,94,0,212,1,4643,138,121,222,718,765,505,542,175,419,527,123,122,231,120,56,177,79,165,446,156,685,1674,131,573,16,98,113,1404,20,97,107,29,4025,18,434,40,180,65,22628,51,37,4,134,438,143,40,2087,194,773,101,25,126,643,514,1594,3512,423,22679,8770
321_Wood_products,794,18,10,154,8,872,23501,9576,450,321,441,375,233,270,583,286,3644,1036,75,70,26,2105,10,72,84,70,1290,104,6,277,1,12,7,159,49,5,14,42,570,5,28,2,8,0,3933,6,23,1,28,3,11,332,74,55,100,274,56,10,48,57,132,27,178,105,572
327_Nonmetallic_mineral_products,482,15,238,179,859,870,24294,645,7741,1547,1045,905,896,1229,2061,488,311,461,4204,194,9,124,13,296,1149,843,311,318,8,271,4,9,88,168,9,0,5,2,557,2,47,15,7,1,3974,128,6,0,167,20,13,19,294,353,876,8,1,16,543,423,546,113,176,448,687
331_Primary_metals,148,0,394,363,1736,251,8497,35,426,34440,37045,17508,5272,7695,17790,5258,2217,3464,11,8,2,508,217,38,550,474,96,27,2,270,20,2,2,48,7,0,3,0,173,0,8,1,2,2,1206,1,2,0,7,4,3,5,23,5,32,33,0,4,13,30,45,374,54,117,170
332_Fabricated_metal_products,900,413,481,1195,774,1545,36012,2146,606,3063,13622,11653,9057,3257,11623,6164,2729,1675,13164,23,79,898,80,426,4669,1733,980,1218,110,627,453,206,521,975,133,10,28,4,1573,12,64,5,24,5,6192,113,59,3,319,84,278,348,177,280,413,646,8,105,98,101,2241,3349,369,1005,819
333_Machinery,1268,124,359,2545,987,889,9419,291,319,1837,1838,11127,1197,655,6950,2749,155,383,462,458,160,682,978,58,1630,792,1059,611,72,290,372,87,29,476,103,12,271,58,353,14,620,24,198,1,1713,158,421,12,1002,11,1310,26,296,352,599,30,5,91,73,254,1912,1131,123,2262,846
334_Computer_and_electronic_products,44,10,4,6,7,535,3043,4,37,44,347,989,58168,2056,5398,7708,12,1214,39,6,2,43,231,21,2244,132,1485,314,137,49,18,19,75,262,39,2,2786,89,4853,600,489,62,236,16,569,283,137,1140,3340,891,2035,159,434,574,635,100,3,8,16,21,1523,11215,59,995,123
335_Electrical_equipment_appliances_and_components,666,50,155,398,0,974,15631,289,120,1450,696,6378,5840,4084,2137,944,68,436,59,10,5,37,11,37,245,177,306,313,28,268,79,102,280,357,26,1,66,2,686,34,51,3,14,5,2750,78,11,8,990,30,362,19,181,65,397,150,17,57,144,109,978,552,161,646,951
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,666,116,71,493,2,115,581,207,36,719,148,3455,23,301,75301,2139,76,19,54,6,19,39,47,34,22,38,1004,7693,13,39,78,456,499,240,38,6,37,6,215,6,33,8,38,0,267,938,96,1,99,47,105,1149,81,68,86,12,4,20,33,59,5898,858,350,1246,292
3364OT_Other_transportation_equipment,0,71,0,6,0,8,14,2,0,5,0,26,0,22,86,22910,0,4,0,0,0,0,0,0,0,0,35,0,3425,853,192,3,21,0,72,0,0,3,11,0,36,13,2,0,1,13,0,0,0,0,0,0,7,0,5,0,0,92,6,0,179,22002,32,28,129
337_Furniture_and_related_products,98,0,3,5,0,218,5787,235,4,79,10,6,828,25,53,94,330,37,7,2,1,9,2,11,9,3,11,17,1,71,0,1,2,43,0,0,3,7,148,1,7,0,2,0,941,1,3,0,3,1,1,4,19,7,26,0,0,2,11,6,28,5,70,5,161
339_Miscellaneous_manufacturing,73,12,21,48,2,87,1702,653,94,70,182,626,380,301,650,137,61,3075,58,106,557,66,186,18,225,234,554,742,34,25,33,32,26,20,31,2,65,10,128,17,338,25,146,7,429,273,146,4,448,1,299,19,216,3286,4430,478,15,152,197,345,1473,315,70,3636,87
311FT_Food_and_beverage_and_tobacco_products,13324,174,3,4,0,2,0,5,30,10,12,17,10,6,5,8,26,150,62701,26,984,427,5,45,1592,19,1916,4689,222,5,31,0,1,6,14,0,7,152,7,0,1,1,1,0,8,4,0,0,108,1,5,3,89,4,5163,1595,38,784,3195,48886,764,1065,363,6368,3
313TT_Textile_mills_and_textile_product_mills,275,120,1,39,0,43,1386,117,141,7,3,180,4,58,2897,373,1948,1099,82,16391,16871,879,270,18,168,1780,1840,174,9,14,51,9,0,715,18,0,18,36,29,0,80,1,9,0,210,1,1,0,17,1,16,1,12,14,743,83,24,23,494,55,372,160,92,515,40
315AL_Apparel_and_leather_and_allied_products,38,11,5,18,0,10,114,4,14,16,37,22,67,7,366,12,145,180,16,92,11112,19,97,3,14,23,179,108,15,7,50,9,38,3,20,0,9,21,80,2,16,3,18,1,30,85,22,0,69,0,87,2,12,34,607,12,68,41,123,84,916,439,20,1168,40
322_Paper_products,769,102,8,66,1,137,1159,237,1806,184,967,693,1011,894,576,50,829,1371,12062,561,406,28204,17107,141,6335,2332,5461,4206,44,24,7,71,30,30,49,13,8422,22,144,125,619,42,150,52,742,115,416,28,861,86,1019,12,518,1020,948,324,20,98,410,1690,972,317,76,2537,68
323_Printing_and_related_support_activities,8,27,13,15,0,125,120,21,38,31,278,70,236,36,72,50,24,100,2318,13,48,123,4768,3,924,77,3592,141,128,61,17,154,156,29,118,5,8531,83,1136,702,2195,546,1654,66,1466,27,221,369,3234,292,1587,18,652,659,2092,111,34,90,315,273,5279,718,449,3185,161
324_Petroleum_and_coal_products,2086,342,321,1203,729,2986,9048,328,443,897,463,381,294,243,484,225,139,203,615,219,130,875,232,7240,2275,317,1227,2541,9072,1661,468,4844,1227,240,177,44,222,23,320,40,269,54,90,186,1871,166,242,9,504,230,447,789,359,465,593,143,10,110,309,118,782,2202,805,9037,4077
325_Chemical_products,6554,1552,736,936,562,634,5386,961,3214,2500,3013,1132,2169,2480,3653,802,992,2354,3305,13209,1498,8082,2956,1623,70833,26453,845,263,23,118,33,68,109,65,14,1,611,64,316,5,33,1,8,31,1379,136,23,4,1246,212,1664,684,316,5209,10911,98,6,78,460,218,1387,2251,93,7011,1353
326_Plastics_and_rubber_products,763,154,8,627,1,559,6608,380,475,506,1828,2413,7073,2036,11468,1325,1564,1957,6476,593,616,2593,1798,397,7287,5393,1128,727,19,102,36,985,311,79,74,6,792,5,464,44,54,9,32,3,1747,587,84,13,1087,27,711,14,157,2175,6544,1118,2,278,828,1616,1232,382,91,1513,263
42_Wholesale_trade,6828,692,567,1562,654,2081,19161,3135,2404,7573,7754,9034,13660,4525,14169,3671,2270,3370,27661,4361,4121,5406,2797,5566,15875,7063,10368,2650,2800,755,310,1664,585,528,138,18,2746,551,1623,148,545,86,210,76,3710,408,284,166,1625,265,1060,500,559,1956,4367,676,41,262,864,6179,2833,3402,556,6684,1845
44RT_Retail_trade,613,61,93,379,158,834,9232,1161,580,769,1138,1925,1546,791,4446,905,666,428,1170,424,362,589,182,86,1215,580,541,836,1353,345,119,789,268,189,52,8,107,13,317,12,90,12,25,30,1526,88,70,4,279,2,177,163,122,258,601,138,10,46,144,131,643,0,0,0,0
481_Air_transportation,97,86,74,107,15,371,784,73,153,224,482,652,1673,370,777,992,85,132,820,110,118,418,263,46,747,204,3992,1007,82,65,24,187,24,573,403,9,1247,69,351,86,1952,1166,598,80,676,281,948,25,3482,44,552,27,721,681,377,66,14,52,71,211,1303,1849,1134,539,86
482_Rail_transportation,589,87,27,866,48,1704,1981,416,1205,2169,406,276,178,184,1116,132,154,243,2336,308,63,741,279,159,1868,518,204,207,71,76,7,147,19,19,11,0,127,4,56,3,17,4,9,6,343,18,17,1,77,8,56,40,38,122,274,29,2,11,52,391,149,520,641,346,257
483_Water_transportation,56,32,35,71,16,267,218,47,108,238,41,44,42,16,63,22,13,37,450,46,9,84,25,337,301,93,66,55,105,19,3,52,23,61,3,0,7,1,13,1,12,1,5,1,37,23,8,1,39,16,62,15,10,20,45,3,2,132,8,46,45,694,85,102,186
484_Truck_transportation,1222,158,63,628,146,1202,5057,465,847,2048,1229,885,852,480,1958,400,314,520,4963,763,532,1226,641,259,2938,1051,975,1213,189,86,30,15372,119,65,95,90,432,28,276,43,206,111,17,22,1155,150,62,11,581,35,508,71,167,498,951,153,21,93,314,1180,634,3082,1729,847,322
485_Transit_and_ground_passenger_transportation,0,13,20,22,3,52,206,34,33,43,76,88,156,39,92,63,26,54,112,25,28,44,113,10,111,58,486,849,44,43,7,87,726,21,66,4,139,19,140,34,544,115,425,30,611,102,30,8,309,17,304,17,79,127,142,38,13,55,166,264,231,84,20,3173,111
486_Pipeline_transportation,22,3,598,15,4,4015,48,3,7,15,6,4,4,3,4,2,2,3,6,6,2,11,3,12543,703,10,13,27,96,16,5,51,13,345,2,0,2,0,2,0,3,1,1,2,19,0,3,0,5,3,4,9,4,6,9,2,0,1,3,1,8,24,9,87,52
487OS_Other_transportation_and_support_activities,61,32,36,32,12,178,85,39,85,192,36,38,31,13,54,26,9,32,275,33,8,77,27,235,257,98,6945,4657,7951,3030,5197,5409,259,73,4286,117,13,3,16,3,22,10,244,219,443,244,13,1,62,6,83,13,16,25,42,2,3,439,306,37,62,0,0,290,27
493_Warehousing_and_storage,2869,2,2,9,0,7,7,3,3,3,86,3,23,2,9,8,3,2,15,7,2,5,19,12,154,3,1111,6368,21,2,1,1174,0,0,84,142,31,3,58,8,0,29,136,26,242,25,6,3,185,1,360,4,24,32,61,4,4,10,39,75,63,143,0,610,163
511_Publishing_industries_except_internet_includes_software,55,6,4,55,0,24,122,23,16,48,34,37,874,19,31,23,14,31,18,11,6,18,490,3,47,27,271,250,29,12,8,45,21,89,21,11,2966,10,72,75,689,21,71,14,70,123,427,5,610,84,140,9,1495,470,443,529,10,71,122,117,1466,270,93,3666,334
512_Motion_picture_and_sound_recording_industries,0,0,0,0,0,0,12,1,0,0,2,2,14,2,5,2,1,4,34,1,2,1,1,1,21,1,323,172,38,2,2,0,0,0,3,0,9,9183,7145,1,10,3,3,13,6,97,1,0,134,18,21,0,368,4,33,293,1,3,7,13,304,390,36,85,0
