commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,66242,290,0,30,14,0,2126,0,0,0,0,0,0,0,0,0,0,170,206386,2691,0,0,0,0,5420,0,1283,289,1197,276,295,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,1,3,0,1,1,849,33,1001,0,90,0,0,0,0,0,481,12,1731
113FF_Forestry_fishing_and_related_activities,23541,5422,0,51,0,0,0,12455,1,0,0,0,0,0,0,0,39,154,7157,0,51,5538,33,17,280,1427,0,0,804,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,14,3,0,84,0,0,0,0,0,171,193,3299
211_Oil_and_gas_extraction,0,0,20059,2,1,17900,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,180904,2516,1,6,1,1,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,1,1,1,4,1,1,0,2,5,18
212_Mining_except_oil_and_gas,1821,0,54,5668,34,6341,19388,2,6929,8354,360,86,0,69,43,41,13,93,614,21,0,498,0,1801,2779,40,12,0,0,0,2,0,143,0,8,0,0,2,1,18,15,157,502,0,0,0,0,94,0,0,0,0,925,35,370,44,278,0,38,22,12,243,193,29,208
213_Support_activities_for_mining,0,0,9589,1619,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,5163,72,5337,2416,79,31742,6496,1014,2785,3549,3144,1409,359,503,2383,406,413,680,8376,702,77,3700,1052,5839,11422,4261,15410,3052,9491,4951,18512,33,105,84,1801,63,827,832,10659,510,288,3464,2290,2044,933,980,1660,19,110650,1654,416,237,4149,10814,3085,479,5767,2550,9160,1848,1130,461,1128,2672,19204
23_Construction,1959,31,1042,2249,1166,6982,476,192,526,523,760,471,71,135,697,128,103,190,1870,98,21,878,281,7176,1961,742,3037,799,908,777,4207,123,2626,12,356,186,348,1434,997,63,25,2378,318,2954,1201,587,476,70810,68265,285,109,33,1141,1026,598,42,248,337,978,229,271,151,301,529,2372
321_Wood_products,648,30,0,356,207,0,46644,26725,355,495,294,561,374,590,3219,245,7095,1388,431,54,9,6287,3,0,351,1722,4687,99,914,124,1555,0,2584,0,163,0,1,94,283,59,128,1190,1584,72,6,12,0,217,7270,341,14,14,665,5,716,20,31,322,273,4,689,8,92,338,864
327_Nonmetallic_mineral_products,3,20,1400,419,616,59,74206,757,14460,1406,1061,1402,127,1304,7795,263,284,665,4651,104,0,347,2,1756,1501,1643,108,281,68,79,1159,0,20,0,44,0,0,37,184,3,5,2702,969,32,52,8,0,326,88,343,4,70,3831,49,1039,228,54,1962,1447,136,336,10,52,53,2047
331_Primary_metals,130,0,4914,458,251,5,5253,403,1208,52958,60228,24722,2166,13411,42202,5999,3346,5967,4559,160,0,631,22,70,54,1302,1143,4,0,0,916,0,839,0,0,0,0,325,0,15,11,204,585,0,0,1,0,2,2278,113,0,1,1437,41,480,371,130,59,24,12,247,10,138,8,134
332_Fabricated_metal_products,2154,85,6519,800,616,489,93912,2379,3111,3442,38835,21655,2156,8075,40559,8767,2830,4815,16316,604,316,5002,1454,780,8891,6966,3056,366,216,83,1950,97,468,881,1298,118,328,782,693,765,71,10376,2372,177,257,6,20,72,1831,1172,39,1035,5687,1180,2873,2353,607,298,1034,32,1947,27,264,660,2863
333_Machinery,3431,139,9755,3848,3073,1598,37108,390,158,748,3730,30214,156,1963,22371,2982,83,881,4110,30,0,723,1545,176,3560,1781,3266,126,130,94,988,2,68,11,174,66,12,3754,610,95,60,1635,1112,7,51,710,0,33,291,606,40,1234,2678,427,3232,3327,1951,810,550,189,147,19,91,41,663
334_Computer_and_electronic_products,49,0,23,13,50,92,5589,898,1546,1639,5589,8652,14695,4343,23256,8241,1253,3118,2787,762,153,1216,2595,663,6215,3074,14904,744,327,282,3428,1,64,1,207,3,1,84,240,2822,480,18737,7168,345,1126,67,587,752,526,228,1058,6660,9338,9044,3890,620,1011,9072,563,189,373,14,110,96,71
335_Electrical_equipment_appliances_and_components,2816,128,99,42,273,15,40539,1943,174,1171,2647,14176,965,11115,7705,1226,89,989,1044,62,8,455,146,181,978,1450,1313,279,93,332,553,0,289,20,41,57,1,60,118,2,0,6599,422,91,84,7,0,63,1281,213,0,1212,4959,101,2264,845,994,19,415,930,436,57,228,290,579
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,1068,62,692,452,183,24,1730,509,486,383,868,10099,130,262,193543,2505,252,344,2107,40,1,778,177,226,902,436,5716,4526,1062,211,4452,0,45,0,3388,173,0,70,2670,167,107,691,207,37,13,0,0,0,0,925,0,36,2991,833,6017,1109,283,405,864,113,1519,188,64,60,567
3364OT_Other_transportation_equipment,0,7,0,6,0,0,1,15,0,0,78,324,0,0,333,50530,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,498,1463,1015,0,32,0,2274,0,0,0,9,0,0,0,0,0,0,0,0,0,0,858,7,196,116,0,0,0,0,0,0,0,0,0
