industry,name,share_personal_consump,fl,rank_fl,price_shock_pct,impact_dir,impact_indir,impact_total,year,impact_rank
531,Real_estate,14.868009284001586,2.5744056351585782,10,8.136110808157904,1.2096777103135736,0.13193544818080252,1.3416131584943762,1982,1
44RT,Retail_trade,14.929906712172533,1.641534123887107,32,5.314391854705569,0.793433746226837,0.024519254557408682,0.8179530007842458,1982,2
22,Utilities,3.1999728359484307,3.0548660350109773,5,12.651045746979083,0.4048300273667399,0.2346739228306096,0.6395039501973495,1982,3
622HO,Hospitals_and_nursing_and_residential_care_facilities,5.967077763506127,1.012694013309381,64,9.772854739203595,0.5831538420027725,0.0010165916191814126,0.5841704336219539,1982,4
621,Ambulatory_health_care_services,4.321296887253166,1.0139367925090217,63,8.426429395287528,0.36413103116514567,0.0012394023286971725,0.36537043349384285,1982,5
513,Broadcasting_and_telecommunications,2.253365889310968,2.544071801533522,11,9.26396498288804,0.20875102692211175,0.07392075449325833,0.2826717814153701,1982,6
722,Food_services_and_drinking_places,4.980202714276246,1.4355897522151309,43,4.919827923347664,0.24501740377628106,0.01990848936029452,0.26492589313657555,1982,7
81,Other_services_except_government,4.02986714059508,1.6455456869827176,31,5.49778983323288,0.22155362594842887,0.029016479095730886,0.2505701050441598,1982,8
524,Insurance_carriers_and_related_activities,2.6668311165733685,2.2344798722338606,13,7.388128849403164,0.19702891908841752,0.023901057070233583,0.2209299761586511,1982,9
5411,Legal_services,0.8560354030268542,1.4253216867682414,44,13.31223325181028,0.11395742956900902,0.07041630206097048,0.1843737316299795,1982,10
GSLE,State_and_local_government_enterprises,1.1818773049847033,1.453211179868254,40,10.780399274047191,0.12741109240669948,0.03904676786693013,0.1664578602736296,1982,11
3361MV,Motor_vehicles_bodies_and_trailers_and_parts,2.105617502521797,2.0548494675846984,19,6.310518536394061,0.13287538280219569,0.03311597475657376,0.16599135755876945,1982,12
521CI,Federal_Reserve_banks_credit_intermediation_and_related_activities,1.8820102106123862,2.7443692642829465,8,5.181641258514413,0.09751901756254541,0.06266918574493659,0.160188203307482,1982,13
GSLG,State_and_local_general_government,1.9465847921107726,1.243332036165484,51,7.11245594200971,0.13844998571274,0.011891120877686465,0.1503411065904265,1982,14
311FT,Food_and_beverage_and_tobacco_products,8.187002197909383,2.286091985440722,12,1.415383219543176,0.11587745529284041,0.00718059813617697,0.12305805342901738,1982,15
5412OP,Miscellaneous_professional_scientific_and_technical_services,0.24072734366011858,2.1951862740684653,15,8.459967645264799,0.020365455386951434,0.08921854989478555,0.10958400528173699,1982,16
61,Educational_services,1.449302588808031,1.1136315598815523,59,6.546600630346711,0.09488005241453776,0.005512920822298615,0.10039297323683637,1982,17
561,Administrative_and_support_services,0.3339266077093318,1.9347220650226704,21,9.650502181191033,0.03222559456056629,0.06349142780372591,0.0957170223642922,1982,18
511,Publishing_industries_except_internet_includes_software,0.8822934052031125,1.4520707960803205,41,7.639917621129455,0.0674064893341757,0.028214116125912368,0.09562060546008808,1982,19
315AL,Apparel_and_leather_and_allied_products,2.189315948664724,1.2739161863769437,50,3.740598310398635,0.08189351538504051,0.0023061334181834164,0.08419964880322392,1982,20
GFE,Federal_government_enterprises,0.48759403823839503,1.5371304534107195,34,9.17226544865497,0.044723419499041815,0.03690168437799565,0.08162510387703747,1982,21
721,Accommodation,1.2617963029689545,1.21977104996387,52,4.904928211098181,0.061890202830918124,0.008009100986508028,0.06989930381742615,1982,22
332,Fabricated_metal_products,0.21526311417694338,2.794721263077822,7,4.586786835117085,0.009873660181931098,0.056854825519670374,0.06672848570160146,1982,23
55,Management_of_companies_and_enterprises,0.00542067961394715,2.149067413769491,16,3.9146721569300436,2.1220183556357205e-4,0.0500957382707085,0.05030794010627207,1982,24
482,Rail_transportation,0.21653828401151545,1.501937011946,36,6.894283664195178,0.014928763541334468,0.02965149283003081,0.04458025637136528,1982,25
333,Machinery,0.17878862949281413,1.8752255931370903,24,5.805973641113638,0.01038042070166111,0.0294867888861133,0.039867209587774406,1982,26
486,Pipeline_transportation,0.04173024208277508,1.4134244084440046,45,7.239436619718309,0.0030210344268375195,0.036573778806407824,0.03959481323324534,1982,27
3364OT,Other_transportation_equipment,0.24695823717527346,1.4969109927542326,38,8.644095518482175,0.021347305912190397,0.01735056116528721,0.038697867077477605,1982,28
